Dataset,Software,Class,Depth Cutoff,Average Accuracy < Depth,Match < Depth,Total < Depth,Average Accuracy >= Depth,Match >= Depth,Total >= Depth
hgsvc2_clr,SpecLong,Class II Genes,10,,0,0,0.9295880632954936,508,546
hgsvc2_clr,SpecLong,Non-HLA Genes,10,,0,0,0.8461257309941521,121,144
hgsvc2_clr,HLA*LA,Class I Genes,15,,0,0,0.14473684210526314,33,228
hgsvc2_clr,HLA*LA,Class I Pseudogenes,15,0.17857142857142858,5,28,0.2619047619047619,9,62
hgsvc2_clr,HLA*LA,Class II Genes,15,,0,0,0.17763157894736842,54,252
hgsvc2_clr,HLA*LA,Non-HLA Genes,15,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,15,,0,0,0.9649122807017543,110,114
hgsvc2_clr,SpecHLA,Class I Pseudogenes,15,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,15,,0,0,0.7897660818713451,147,186
hgsvc2_clr,SpecHLA,Non-HLA Genes,15,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,15,,0,0,0.9912280701754387,226,228
hgsvc2_clr,SpecLong,Class I Pseudogenes,15,0.8327067669172932,109,126,0.9217555105713,236,242
hgsvc2_clr,SpecLong,Class II Genes,15,,0,0,0.9295880632954936,508,546
hgsvc2_clr,SpecLong,Non-HLA Genes,15,,0,0,0.8461257309941521,121,144
hgsvc2_clr,HLA*LA,Class I Genes,20,,0,0,0.14473684210526314,33,228
hgsvc2_clr,HLA*LA,Class I Pseudogenes,20,0.17857142857142858,5,28,0.2619047619047619,9,62
hgsvc2_clr,HLA*LA,Class II Genes,20,0.0,0,2,0.17763157894736842,54,250
hgsvc2_clr,HLA*LA,Non-HLA Genes,20,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,20,,0,0,0.9649122807017543,110,114
hgsvc2_clr,SpecHLA,Class I Pseudogenes,20,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,20,,0,0,0.7897660818713451,147,186
hgsvc2_clr,SpecHLA,Non-HLA Genes,20,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,20,,0,0,0.9912280701754387,226,228
hgsvc2_clr,SpecLong,Class I Pseudogenes,20,0.8566058002148227,111,128,0.9206871345029239,234,240
hgsvc2_clr,SpecLong,Class II Genes,20,1.0,2,2,0.9295880632954936,506,544
hgsvc2_clr,SpecLong,Non-HLA Genes,20,,0,0,0.8461257309941521,121,144
hgsvc2_clr,HLA*LA,Class I Genes,25,,0,0,0.14473684210526314,33,228
hgsvc2_clr,HLA*LA,Class I Pseudogenes,25,0.2142857142857143,6,32,0.2638888888888889,8,58
hgsvc2_clr,HLA*LA,Class II Genes,25,0.0,0,4,0.17763157894736842,54,248
hgsvc2_clr,HLA*LA,Non-HLA Genes,25,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,25,,0,0,0.9649122807017543,110,114
hgsvc2_clr,SpecHLA,Class I Pseudogenes,25,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,25,,0,0,0.7897660818713451,147,186
hgsvc2_clr,SpecHLA,Non-HLA Genes,25,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,25,,0,0,0.9912280701754387,226,228
hgsvc2_clr,SpecLong,Class I Pseudogenes,25,0.8953634085213033,132,150,0.9248538011695907,213,218
hgsvc2_clr,SpecLong,Class II Genes,25,1.0,10,10,0.9289000687994495,498,536
hgsvc2_clr,SpecLong,Non-HLA Genes,25,,0,0,0.8461257309941521,121,144
hgsvc2_clr,HLA*LA,Class I Genes,30,0.0,0,8,0.14473684210526314,33,220
hgsvc2_clr,HLA*LA,Class I Pseudogenes,30,0.14285714285714288,6,34,0.2638888888888889,8,56
hgsvc2_clr,HLA*LA,Class II Genes,30,0.16666666666666666,1,8,0.17708333333333334,53,244
hgsvc2_clr,HLA*LA,Non-HLA Genes,30,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,30,1.0,8,8,0.960233918128655,102,106
hgsvc2_clr,SpecHLA,Class I Pseudogenes,30,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,30,1.0,4,4,0.7897660818713451,143,182
hgsvc2_clr,SpecHLA,Non-HLA Genes,30,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,30,1.0,8,8,0.9900584795321637,218,220
hgsvc2_clr,SpecLong,Class I Pseudogenes,30,0.9246240601503759,142,160,0.9248538011695907,203,208
hgsvc2_clr,SpecLong,Class II Genes,30,1.0,16,16,0.9289000687994495,492,530
hgsvc2_clr,SpecLong,Non-HLA Genes,30,1.0,4,4,0.843266253869969,117,140
hgsvc2_clr,HLA*LA,Class I Genes,35,0.1,1,28,0.14842047930283225,32,200
hgsvc2_clr,HLA*LA,Class I Pseudogenes,35,0.14285714285714288,6,36,0.2638888888888889,8,54
hgsvc2_clr,HLA*LA,Class II Genes,35,0.3,4,16,0.1764705882352941,50,236
hgsvc2_clr,HLA*LA,Non-HLA Genes,35,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,35,0.8958333333333334,22,24,0.9750445632798574,88,90
hgsvc2_clr,SpecHLA,Class I Pseudogenes,35,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,35,1.0,6,6,0.7897660818713451,141,180
hgsvc2_clr,SpecHLA,Non-HLA Genes,35,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,35,0.9375,26,28,1.0,200,200
hgsvc2_clr,SpecLong,Class I Pseudogenes,35,0.9225232502744465,162,182,0.9252819548872181,183,186
hgsvc2_clr,SpecLong,Class II Genes,35,0.9285714285714286,46,48,0.9323199868182568,462,498
hgsvc2_clr,SpecLong,Non-HLA Genes,35,0.8333333333333333,10,14,0.8547794117647058,111,130
hgsvc2_clr,HLA*LA,Class I Genes,40,0.15,3,40,0.148109243697479,30,188
hgsvc2_clr,HLA*LA,Class I Pseudogenes,40,0.15,10,54,0.16666666666666666,4,36
hgsvc2_clr,HLA*LA,Class II Genes,40,0.21428571428571427,6,40,0.175,48,212
hgsvc2_clr,HLA*LA,Non-HLA Genes,40,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,40,0.9458333333333333,28,30,0.972943722943723,82,84
hgsvc2_clr,SpecHLA,Class I Pseudogenes,40,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,40,0.9166666666666666,26,28,0.7794444444444444,121,158
hgsvc2_clr,SpecHLA,Non-HLA Genes,40,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,40,0.9675,38,40,1.0,188,188
hgsvc2_clr,SpecLong,Class I Pseudogenes,40,0.9194929472441434,187,208,0.9860365198711064,158,160
hgsvc2_clr,SpecLong,Class II Genes,40,0.93125,91,94,0.9323354341736695,417,452
hgsvc2_clr,SpecLong,Non-HLA Genes,40,0.8333333333333334,22,28,0.8517857142857143,99,116
hgsvc2_clr,HLA*LA,Class I Genes,45,0.1388888888888889,5,62,0.14703525641025642,28,166
hgsvc2_clr,HLA*LA,Class I Pseudogenes,45,0.15,11,64,0.1875,3,26
hgsvc2_clr,HLA*LA,Class II Genes,45,0.17857142857142858,10,60,0.17708333333333334,44,192
hgsvc2_clr,HLA*LA,Non-HLA Genes,45,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,45,0.9465811965811967,41,44,0.9871794871794872,69,70
hgsvc2_clr,SpecHLA,Class I Pseudogenes,45,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,45,0.7833333333333333,38,46,0.7897134238310709,109,140
hgsvc2_clr,SpecHLA,Non-HLA Genes,45,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,45,0.9797008547008547,60,62,1.0,166,166
hgsvc2_clr,SpecLong,Class I Pseudogenes,45,0.9281859952912584,209,230,0.9838935574229692,136,138
hgsvc2_clr,SpecLong,Class II Genes,45,0.9303921568627451,130,134,0.9297311684854938,378,412
hgsvc2_clr,SpecLong,Non-HLA Genes,45,0.8541666666666667,28,34,0.8442307692307692,93,110
hgsvc2_clr,HLA*LA,Class I Genes,50,0.13333333333333333,8,84,0.15043290043290042,25,144
hgsvc2_clr,HLA*LA,Class I Pseudogenes,50,0.15,12,68,0.25,2,22
hgsvc2_clr,HLA*LA,Class II Genes,50,0.1796875,11,68,0.17613636363636365,43,184
hgsvc2_clr,HLA*LA,Non-HLA Genes,50,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,50,0.9553571428571429,53,56,0.9848484848484849,57,58
hgsvc2_clr,SpecHLA,Class I Pseudogenes,50,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,50,0.7833333333333333,45,54,0.7894230769230769,102,132
hgsvc2_clr,SpecHLA,Non-HLA Genes,50,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,50,0.9836309523809524,82,84,1.0,144,144
hgsvc2_clr,SpecLong,Class I Pseudogenes,50,0.9262018683071315,224,246,0.9955357142857143,121,122
hgsvc2_clr,SpecLong,Class II Genes,50,0.9254901960784314,170,176,0.9239972267316017,338,370
hgsvc2_clr,SpecLong,Non-HLA Genes,50,0.8125,35,44,0.8616071428571428,86,100
hgsvc2_hifi,HLA*LA,Class I Genes,5,,0,0,0.9444444444444443,102,108
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,5,1.0,10,10,0.8650793650793651,25,30
hgsvc2_hifi,HLA*LA,Class II Genes,5,,0,0,0.8313492063492063,94,114
hgsvc2_hifi,HLA*LA,Non-HLA Genes,5,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,5,,0,0,0.9814814814814815,53,54
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,5,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,5,,0,0,0.8,70,88
hgsvc2_hifi,SpecHLA,Non-HLA Genes,5,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,5,,0,0,1.0,108,108
hgsvc2_hifi,SpecLong,Class I Pseudogenes,5,0.875,39,42,0.9852272727272727,120,122
hgsvc2_hifi,SpecLong,Class II Genes,5,,0,0,0.944965277777778,243,256
hgsvc2_hifi,SpecLong,Non-HLA Genes,5,,0,0,0.8472222222222222,61,72
hgsvc2_hifi,HLA*LA,Class I Genes,10,,0,0,0.9444444444444443,102,108
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,10,1.0,14,14,0.7976190476190477,21,26
hgsvc2_hifi,HLA*LA,Class II Genes,10,,0,0,0.8313492063492063,94,114
hgsvc2_hifi,HLA*LA,Non-HLA Genes,10,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,10,,0,0,0.9814814814814815,53,54
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,10,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,10,,0,0,0.8,70,88
hgsvc2_hifi,SpecHLA,Non-HLA Genes,10,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,10,,0,0,1.0,108,108
hgsvc2_hifi,SpecLong,Class I Pseudogenes,10,0.875,53,56,0.9796875,106,108
hgsvc2_hifi,SpecLong,Class II Genes,10,,0,0,0.944965277777778,243,256
hgsvc2_hifi,SpecLong,Non-HLA Genes,10,,0,0,0.8472222222222222,61,72
hgsvc2_hifi,HLA*LA,Class I Genes,15,,0,0,0.9444444444444443,102,108
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,15,1.0,14,14,0.7976190476190477,21,26
hgsvc2_hifi,HLA*LA,Class II Genes,15,,0,0,0.8313492063492063,94,114
hgsvc2_hifi,HLA*LA,Non-HLA Genes,15,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,15,,0,0,0.9814814814814815,53,54
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,15,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,15,,0,0,0.8,70,88
hgsvc2_hifi,SpecHLA,Non-HLA Genes,15,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,15,,0,0,1.0,108,108
hgsvc2_hifi,SpecLong,Class I Pseudogenes,15,0.9,55,58,0.9796875,104,106
hgsvc2_hifi,SpecLong,Class II Genes,15,1.0,2,2,0.9440972222222224,241,254
hgsvc2_hifi,SpecLong,Non-HLA Genes,15,,0,0,0.8472222222222222,61,72
hgsvc2_hifi,HLA*LA,Class I Genes,20,1.0,6,6,0.9444444444444443,96,102
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,20,0.9166666666666666,19,20,0.7708333333333333,16,20
hgsvc2_hifi,HLA*LA,Class II Genes,20,1.0,4,4,0.8313492063492063,90,110
hgsvc2_hifi,HLA*LA,Non-HLA Genes,20,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,20,,0,0,0.9814814814814815,53,54
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,20,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,20,1.0,2,2,0.8,68,86
hgsvc2_hifi,SpecHLA,Non-HLA Genes,20,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,20,1.0,6,6,1.0,102,102
hgsvc2_hifi,SpecLong,Class I Pseudogenes,20,0.9444444444444444,69,72,0.9796875,90,92
hgsvc2_hifi,SpecLong,Class II Genes,20,1.0,14,14,0.9403703703703705,229,242
hgsvc2_hifi,SpecLong,Non-HLA Genes,20,0.5,1,2,0.8489583333333334,60,70
hgsvc2_hifi,HLA*LA,Class I Genes,25,1.0,26,26,0.9285714285714285,76,82
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,25,0.9166666666666666,26,28,0.6875,9,12
hgsvc2_hifi,HLA*LA,Class II Genes,25,0.9166666666666666,14,16,0.8313492063492063,80,98
hgsvc2_hifi,HLA*LA,Non-HLA Genes,25,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,25,0.9444444444444445,13,14,1.0,40,40
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,25,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,25,1.0,12,12,0.8,58,76
hgsvc2_hifi,SpecHLA,Non-HLA Genes,25,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,25,1.0,26,26,1.0,82,82
hgsvc2_hifi,SpecLong,Class I Pseudogenes,25,0.95,87,90,0.9738095238095239,72,74
hgsvc2_hifi,SpecLong,Class II Genes,25,1.0,44,44,0.9371957671957674,199,212
hgsvc2_hifi,SpecLong,Non-HLA Genes,25,0.75,9,12,0.8616071428571428,52,60
hgsvc2_hifi,HLA*LA,Class I Genes,30,0.9791666666666666,55,56,0.9166666666666666,47,52
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,30,0.9166666666666666,28,30,0.6666666666666667,7,10
hgsvc2_hifi,HLA*LA,Class II Genes,30,0.8095238095238094,32,36,0.8452380952380951,62,78
hgsvc2_hifi,HLA*LA,Non-HLA Genes,30,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,30,0.9666666666666667,27,28,1.0,26,26
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,30,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,30,0.9,24,26,0.7857142857142857,46,62
hgsvc2_hifi,SpecHLA,Non-HLA Genes,30,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,30,1.0,56,56,1.0,52,52
hgsvc2_hifi,SpecLong,Class I Pseudogenes,30,0.9375,110,114,0.9857142857142858,49,50
hgsvc2_hifi,SpecLong,Class II Genes,30,0.90625,86,92,0.9662698412698413,157,164
hgsvc2_hifi,SpecLong,Non-HLA Genes,30,0.8333333333333334,24,30,0.8645833333333334,37,42
hgsvc2_hifi,HLA*LA,Class I Genes,35,0.9479166666666666,79,84,0.9166666666666666,23,24
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,35,0.8428571428571429,33,38,1.0,2,2
hgsvc2_hifi,HLA*LA,Class II Genes,35,0.8282312925170068,60,68,0.826530612244898,34,46
hgsvc2_hifi,HLA*LA,Non-HLA Genes,35,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,35,0.9722222222222222,43,44,1.0,10,10
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,35,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,35,0.875,45,50,0.7857142857142857,25,38
hgsvc2_hifi,SpecHLA,Non-HLA Genes,35,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,35,1.0,84,84,1.0,24,24
hgsvc2_hifi,SpecLong,Class I Pseudogenes,35,0.9375,134,138,0.9722222222222223,25,26
hgsvc2_hifi,SpecLong,Class II Genes,35,0.9244791666666665,143,152,0.9793650793650794,100,104
hgsvc2_hifi,SpecLong,Non-HLA Genes,35,0.85,42,50,0.875,19,22
hgsvc2_hifi,HLA*LA,Class I Genes,40,0.9479166666666666,87,92,0.9,15,16
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,40,0.8428571428571429,33,38,1.0,2,2
hgsvc2_hifi,HLA*LA,Class II Genes,40,0.8244047619047619,71,80,0.7976190476190476,23,34
hgsvc2_hifi,HLA*LA,Non-HLA Genes,40,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,40,0.9761904761904763,45,46,1.0,8,8
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,40,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,40,0.8800000000000001,54,60,0.7321428571428571,16,28
hgsvc2_hifi,SpecHLA,Non-HLA Genes,40,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,40,1.0,92,92,1.0,16,16
hgsvc2_hifi,SpecLong,Class I Pseudogenes,40,0.9479166666666666,148,152,0.9583333333333334,11,12
hgsvc2_hifi,SpecLong,Class II Genes,40,0.9383928571428573,185,196,0.9880952380952381,58,60
hgsvc2_hifi,SpecLong,Non-HLA Genes,40,0.8420138888888888,55,66,1.0,6,6
hgsvc2_hifi,HLA*LA,Class I Genes,45,0.9444444444444443,94,100,1.0,8,8
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,45,0.8428571428571429,33,38,1.0,2,2
hgsvc2_hifi,HLA*LA,Class II Genes,45,0.8333333333333331,83,94,0.8125,11,20
hgsvc2_hifi,HLA*LA,Non-HLA Genes,45,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,45,0.9814814814814815,51,52,1.0,2,2
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,45,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,45,0.819047619047619,60,70,0.6666666666666666,10,18
hgsvc2_hifi,SpecHLA,Non-HLA Genes,45,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,45,1.0,100,100,1.0,8,8
hgsvc2_hifi,SpecLong,Class I Pseudogenes,45,0.9479166666666666,150,154,0.9375,9,10
hgsvc2_hifi,SpecLong,Class II Genes,45,0.9450272817460318,213,224,0.9814814814814815,30,32
hgsvc2_hifi,SpecLong,Non-HLA Genes,45,0.8472222222222222,59,70,1.0,2,2
hgsvc2_hifi,HLA*LA,Class I Genes,50,0.9444444444444443,98,104,1.0,4,4
hgsvc2_hifi,HLA*LA,Class I Pseudogenes,50,0.8650793650793651,35,40,,0,0
hgsvc2_hifi,HLA*LA,Class II Genes,50,0.8154761904761905,89,106,0.75,5,8
hgsvc2_hifi,HLA*LA,Non-HLA Genes,50,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class I Genes,50,0.9814814814814815,53,54,,0,0
hgsvc2_hifi,SpecHLA,Class I Pseudogenes,50,,0,0,,0,0
hgsvc2_hifi,SpecHLA,Class II Genes,50,0.7722222222222223,63,80,0.9166666666666667,7,8
hgsvc2_hifi,SpecHLA,Non-HLA Genes,50,,0,0,,0,0
hgsvc2_hifi,SpecLong,Class I Genes,50,1.0,104,104,1.0,4,4
hgsvc2_hifi,SpecLong,Class I Pseudogenes,50,0.9500000000000001,154,158,0.875,5,6
hgsvc2_hifi,SpecLong,Class II Genes,50,0.9393229166666667,231,244,1.0,12,12
hgsvc2_hifi,SpecLong,Non-HLA Genes,50,0.8472222222222222,61,72,,0,0
hprc_hifi,HLA*LA,Class I Genes,5,,0,0,0.9416666666666668,339,360
hprc_hifi,HLA*LA,Class I Pseudogenes,5,1.0,38,38,0.8585507246376811,86,106
hprc_hifi,HLA*LA,Class II Genes,5,,0,0,0.837797619047619,312,380
hprc_hifi,HLA*LA,Non-HLA Genes,5,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,5,,0,0,0.9277777777777777,167,180
hprc_hifi,SpecHLA,Class I Pseudogenes,5,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,5,,0,0,0.8300000000000001,249,300
hprc_hifi,SpecHLA,Non-HLA Genes,5,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,5,,0,0,0.9972222222222222,359,360
hprc_hifi,SpecLong,Class I Pseudogenes,5,0.6689205653021442,125,146,0.9434782608695652,394,416
hprc_hifi,SpecLong,Class II Genes,5,,0,0,0.9352678571428572,778,830
hprc_hifi,SpecLong,Non-HLA Genes,5,,0,0,0.8226190476190476,195,236
hprc_hifi,HLA*LA,Class I Genes,10,,0,0,0.9416666666666668,339,360
hprc_hifi,HLA*LA,Class I Pseudogenes,10,1.0,48,48,0.7878260869565217,76,96
hprc_hifi,HLA*LA,Class II Genes,10,,0,0,0.837797619047619,312,380
hprc_hifi,HLA*LA,Non-HLA Genes,10,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,10,,0,0,0.9277777777777777,167,180
hprc_hifi,SpecHLA,Class I Pseudogenes,10,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,10,,0,0,0.8300000000000001,249,300
hprc_hifi,SpecHLA,Non-HLA Genes,10,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,10,,0,0,0.9972222222222222,359,360
hprc_hifi,SpecLong,Class I Pseudogenes,10,0.6802083333333333,152,174,0.9326992753623189,367,388
hprc_hifi,SpecLong,Class II Genes,10,,0,0,0.9352678571428572,778,830
hprc_hifi,SpecLong,Non-HLA Genes,10,,0,0,0.8226190476190476,195,236
hprc_hifi,HLA*LA,Class I Genes,15,1.0,2,2,0.9414750957854405,337,358
hprc_hifi,HLA*LA,Class I Pseudogenes,15,1.0,48,48,0.7878260869565217,76,96
hprc_hifi,HLA*LA,Class II Genes,15,1.0,2,2,0.837797619047619,310,378
hprc_hifi,HLA*LA,Non-HLA Genes,15,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,15,0.0,0,2,0.9381226053639846,167,178
hprc_hifi,SpecHLA,Class I Pseudogenes,15,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,15,0.5,1,2,0.8302298850574713,248,298
hprc_hifi,SpecHLA,Non-HLA Genes,15,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,15,1.0,2,2,0.9971264367816092,357,358
hprc_hifi,SpecLong,Class I Pseudogenes,15,0.6201388888888889,154,178,0.9361714975845411,365,384
hprc_hifi,SpecLong,Class II Genes,15,1.0,2,2,0.9352678571428572,776,828
hprc_hifi,SpecLong,Non-HLA Genes,15,,0,0,0.8226190476190476,195,236
hprc_hifi,HLA*LA,Class I Genes,20,0.6666666666666666,10,12,0.9452639421030226,329,348
hprc_hifi,HLA*LA,Class I Pseudogenes,20,0.5,48,50,0.8036363636363637,76,94
hprc_hifi,HLA*LA,Class II Genes,20,1.0,4,4,0.837797619047619,308,376
hprc_hifi,HLA*LA,Non-HLA Genes,20,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,20,0.8333333333333333,6,8,0.9362281822051938,161,172
hprc_hifi,SpecHLA,Class I Pseudogenes,20,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,20,0.5,2,4,0.8335632183908046,247,296
hprc_hifi,SpecHLA,Non-HLA Genes,20,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,20,0.9444444444444445,11,12,1.0,348,348
hprc_hifi,SpecLong,Class I Pseudogenes,20,0.7029761904761905,163,190,0.942153056874924,356,372
hprc_hifi,SpecLong,Class II Genes,20,1.0,4,4,0.9352678571428572,774,826
hprc_hifi,SpecLong,Non-HLA Genes,20,1.0,4,4,0.8189814814814815,191,232
hprc_hifi,HLA*LA,Class I Genes,25,0.8194444444444443,25,28,0.9476772030651341,314,332
hprc_hifi,HLA*LA,Class I Pseudogenes,25,0.625,55,58,0.8041125541125541,69,86
hprc_hifi,HLA*LA,Class II Genes,25,1.0,14,14,0.837797619047619,298,366
hprc_hifi,HLA*LA,Non-HLA Genes,25,,0,0,,0,0
hprc_hifi,SpecHLA,Class I Genes,25,0.9444444444444445,14,16,0.9319923371647509,153,164
hprc_hifi,SpecHLA,Class I Pseudogenes,25,,0,0,,0,0
hprc_hifi,SpecHLA,Class II Genes,25,0.7,10,12,0.8335632183908046,239,288
hprc_hifi,SpecHLA,Non-HLA Genes,25,,0,0,,0,0
hprc_hifi,SpecLong,Class I Genes,25,0.986111111111111,27,28,1.0,332,332
hprc_hifi,SpecLong,Class I Pseudogenes,25,0.8204861111111111,197,228,0.9556573275862069,322,334
hprc_hifi,SpecLong,Class II Genes,25,1.0,32,32,0.934563720124065,746,798
hprc_hifi,SpecLong,Non-HLA Genes,25,1.0,8,8,0.8189814814814815,187,228
hprc_hifi,HLA*LA,Class I Genes,30,0.9090909090909092,57,60,0.9430778032036614,282,300
hprc_hifi,HLA*LA,Class I Pseudogenes,30,0.7777777777777778,63,70,0.8223684210526316,61,74
hprc_hifi,HLA*LA,Class II Genes,30,0.9666666666666668,39,40,0.8343584656084655,273,340
