url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101162/NA19239_20200108_CLEE_m54336U_191225_235049.subreads.bam	b0ad5a70b8175fbdf6d007c0e0bdf28f	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19239	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861408/HG03371-clr-r64076_20191115_214147-B01.bam	34c11c6f21b0bb03b3a53e4047b9adfb	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03371	Esan in Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861397/HG03065-clr-r54329U_20191115_214119-B01.bam	71d35110e22bb4b8d9a11793b060fdb5	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03065	Mende in Sierra Leone	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861401/NA19983-clr-r54329U_20191206_001107-A01.bam	0d01f004dc65d04a199ea9349271dc6b	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19983	African Ancestry in Southwest US	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861410/NA12329-clr-r64076_20191206_232343-A01.bam	fa3bab6f8bd9301288150a799efbe153	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA12329	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101151/HG01114_20200108_CLEE_m64039_191019_093747.subreads.bam	559fb5470615c03ff276b0c201b2608d	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG01114	Colombian in Medellin, Colombia	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101156/HG03732_20200108_CLEE_m54336U_191227_152123.subreads.bam	80fc4be822462b931e69a70a3b9d9067	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03732	Indian Telugu in the UK	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101163/NA19240_20200306_CLEE_m54336U_200301_162614.subreads.bam	fba712a72171bc1e233c4c248738ab53	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861396/HG00733-clr-r54329U_20200114_195752-A01.bam	caaae7caed2c509dd74bbcb1ce189b10	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861403/HG03683-clr-r54329U_20191206_232007-B01.bam	beb0d3545a224991e6b63ac7fa82e2fc	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03683	Sri Lankan Tamil in the UK	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861412/HG02011-clr-r64076_20191115_214147-A01.bam	fc1b7d9467f116e4e85be2eade63acbf	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02011	African Caribbean in Barbados	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861405/HG00732-clr-r54329U_20191212_232645-C01.bam	9f1febce70215af02f136469183b88fc	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861414/HG00731-clr-r64076_20191209_223506-A01.bam	f1dff681d629f6e8ca3a100dabf75ea4	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982316/HG00514-clr-r54329U_20200723_211822-A01.bam	d7ae0633a21cfa367b3e2eaa6eec0d5e	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00514	Han Chinese South	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101153/HG01596_20200208_CLEE_m54336U_200204_122142.subreads.bam	3647cb8792066464c746e0f63e6a372b	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG01596	Kinh in Ho Chi Minh City, Vietnam	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101158/HG03732_20200116_CLEE_m54336U_200112_083928.subreads.bam	759beafacac8055c08071fb2d0521a73	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03732	Indian Telugu in the UK	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101160/NA19238_20200508_CLEE_S64049_B01.subreads.bam	0d9c05f8e6a13323a9af034a80bb6474	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19238	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968417/HG02587_20200108_CLEE_m54336U_191012_180310.subreads.bam	38a5e307fe4bd7121980bb3644a118eb	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02587	Gambian in Western Division, The Gambia - Mandinka	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861395/HG00733-clr-r54329U_20200111_011943-A01.bam	6f0306990883dcd02e1170819c71697d	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861400/HG02492-clr-r54329U_20191118_223523-A01.bam	1cfc8e83e474e472d5c2c44c16b06185	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02492	Punjabi in Lahore, Pakistan	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861411/HG02011-clr-r64076_20191113_194424-A01.bam	2911dc78354b8561a79040625733efa8	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG02011	African Caribbean in Barbados	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861402/NA19983-clr-r54329U_20191206_232007-A01.bam	faf3a9e1f713925723512c0803ef1655	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19983	African Ancestry in Southwest US	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861413/HG00731-clr-r64076_20191206_232343-B01.bam	73f81e0c494a1747feab1f8484e4eaff	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101152/HG01596_20200208_CLEE_m54336U_200203_205756.subreads.bam	d82e82b1726e71c7b0677de5045228d4	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG01596	Kinh in Ho Chi Minh City, Vietnam	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101157/HG03732_20200108_CLEE_m54336U_191230_150456.subreads.bam	5b9cdf06f5140d34c9ca8f3aefaa63d1	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	HG03732	Indian Telugu in the UK	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101159/NA19238_20200508_CLEE_S64049_A01.subreads.bam	b40cb6a73ae94f2186a1bdb0471d2a3d	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19238	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR510/ERR5101164/NA19240_20200306_CLEE_m54336U_200305_165343.subreads.bam	661e79351d89ab420a690b13a8505876	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio CLR	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
