url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968414/NA19239_20191205_CLEE_m64039_190823_190750.ccs.bam	f340a80bec2522f189d9c5afa4cec6c0	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19239	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968411/NA19238_20191205_CLEE_m64039_190830_040857.ccs.bam	7e28db4d9e07513298d7961336098fed	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19238	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861388/HG00732-hifi-r54329U_20190604_223930-A01.bam	1243a39ad5f73288aa2d18d52db41d69	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861393/HG00732-hifi-r54329U_20190830_234003-B01.bam	b0225059930f90c5e4448d3e1125364b	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840021/HG00731-hifi-r54329U_20190906_202809-A01.bam	ef588197545d259c66d580bc2c2e199a	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861386/HG00733-hifi-r54329U_20190701_221906-A01.bam	c7051ec7be28a206c8a816a01d8248d6	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR382/ERR3822935/HG00733-hifi-r54329U_20190827_172128-1_A01.bam	03ea2e0eca9df1101a7cac695c7ab68e	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4987504/HG00732-hifi-r64076_20200601_233545-A01.bam	ce1ac937ce61de0c95ea513f7c8224eb	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968415/NA19239_20191205_CLEE_m54336U_191005_142313.ccs.bam	e58be54b466b058507e604ba8169901a	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19239	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968413/NA19240_20191002_CLEE_m54336U_190827_013439.ccs.bam	b622ece31713550e157a8a2a37507373	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861390/HG00732-hifi-r54329U_20190607_183639-D01.bam	0ccb009c16a1c287e5b5f11ddb399b40	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840018/HG00731-hifi-r54329U_20190531_173856-A01.bam	e10ebec2c9f5afdd0bdafb243088b8cb	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861383/HG00733-hifi-r54329U_20190615_010116-A01.bam	da1ec16d282cb8d3d3cc7d0bed3153de	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982328/HG00514-hifi-r54329U_20200717_234302-A01.bam	c62e39bc13db326fe9e0cb1821da9e5e	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00514	Han Chinese South	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968410/NA19240_20191002_CLEE_m54336U_190829_230546.ccs.bam	0561ff70b4f14886fc436a9ff2361111	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861389/HG00732-hifi-r54329U_20190607_183639-C01.bam	168a314add80051d87b1ef0a376ee558	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861382/HG00733-hifi-r54329U_20190607_183639-A01.bam	0ef0b5d71ece6eb620904b3167cb9377	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861387/HG00733-hifi-r54329U_20190629_175135-A01.bam	6b7935f401a25ea38c0cd7e8a9cb74b2	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982327/HG00514-hifi-r54329U_20200715_193257-A01.bam	040293ee309634fd08a663298f96a54c	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00514	Han Chinese South	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4987505/HG00732-hifi-r64076_20200601_233545-B01.bam	93221e8cf8a3682d7cf5354d76722889	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968409/NA19240_20191002_CLEE_m64039_190921_152439.ccs.bam	614c60013db2d2462f39c4b7c642b6b3	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
