FID	IID	Population
HG00607	HG00607	EAS
HG00608	HG00608	EAS
HG00610	HG00610	EAS
HG00619	HG00619	EAS
HG00622	HG00622	EAS
HG00626	HG00626	EAS
HG00632	HG00632	EAS
HG00634	HG00634	EAS
HG00637	HG00637	AMR
HG00641	HG00641	AMR
HG00650	HG00650	EAS
HG00651	HG00651	EAS
HG00657	HG00657	EAS
HG00684	HG00684	EAS
HG00692	HG00692	EAS
HG00702	HG00702	EAS
HG00717	HG00717	EAS
HG00731	HG00731	AMR
HG00736	HG00736	AMR
HG00737	HG00737	AMR
HG00739	HG00739	AMR
HG00740	HG00740	AMR
HG00759	HG00759	EAS
HG00766	HG00766	EAS
HG00844	HG00844	EAS
HG00881	HG00881	EAS
HG00982	HG00982	EAS
HG00983	HG00983	EAS
HG01028	HG01028	EAS
HG01047	HG01047	AMR
HG01048	HG01048	AMR
HG01054	HG01054	AMR
HG01055	HG01055	AMR
HG01058	HG01058	AMR
HG01060	HG01060	AMR
HG01066	HG01066	AMR
HG01072	HG01072	AMR
HG01073	HG01073	AMR
HG01085	HG01085	AMR
HG01086	HG01086	AMR
HG01089	HG01089	AMR
HG01101	HG01101	AMR
HG01102	HG01102	AMR
HG01104	HG01104	AMR
HG01107	HG01107	AMR
HG01108	HG01108	AMR
HG01119	HG01119	AMR
HG01121	HG01121	AMR
HG01124	HG01124	AMR
HG01130	HG01130	AMR
HG01131	HG01131	AMR
HG01133	HG01133	AMR
HG01134	HG01134	AMR
HG01136	HG01136	AMR
HG01137	HG01137	AMR
HG01142	HG01142	AMR
HG01148	HG01148	AMR
HG01167	HG01167	AMR
HG01168	HG01168	AMR
HG01174	HG01174	AMR
HG01187	HG01187	AMR
HG01188	HG01188	AMR
HG01197	HG01197	AMR
HG01198	HG01198	AMR
HG01241	HG01241	AMR
HG01242	HG01242	AMR
HG01256	HG01256	AMR
HG01257	HG01257	AMR
HG01258	HG01258	AMR
HG01259	HG01259	AMR
HG01269	HG01269	AMR
HG01275	HG01275	AMR
HG01278	HG01278	AMR
HG01284	HG01284	AMR
HG01286	HG01286	AMR
HG01302	HG01302	AMR
HG01308	HG01308	AMR
HG01311	HG01311	AMR
HG01341	HG01341	AMR
HG01344	HG01344	AMR
HG01345	HG01345	AMR
HG01347	HG01347	AMR
HG01348	HG01348	AMR
HG01356	HG01356	AMR
HG01362	HG01362	AMR
HG01366	HG01366	AMR
HG01375	HG01375	AMR
HG01377	HG01377	AMR
HG01384	HG01384	AMR
HG01389	HG01389	AMR
HG01390	HG01390	AMR
HG01392	HG01392	AMR
HG01396	HG01396	AMR
HG01398	HG01398	AMR
HG01412	HG01412	AMR
HG01447	HG01447	AMR
HG01453	HG01453	AMR
HG01455	HG01455	AMR
HG01464	HG01464	AMR
HG01465	HG01465	AMR
HG01474	HG01474	AMR
HG01479	HG01479	AMR
HG01489	HG01489	AMR
HG01492	HG01492	AMR
HG01494	HG01494	AMR
HG01500	HG01500	EUR
HG01504	HG01504	EUR
HG01506	HG01506	EUR
HG01507	HG01507	EUR
HG01509	HG01509	EUR
HG01512	HG01512	EUR
HG01513	HG01513	EUR
HG01518	HG01518	EUR
HG01519	HG01519	EUR
HG01525	HG01525	EUR
HG01527	HG01527	EUR
HG01530	HG01530	EUR
HG01550	HG01550	AMR
HG01551	HG01551	AMR
HG01566	HG01566	AMR
HG01571	HG01571	AMR
HG01572	HG01572	AMR
HG01577	HG01577	AMR
HG01578	HG01578	AMR
HG01583	HG01583	SAS
HG01586	HG01586	SAS
HG01589	HG01589	SAS
HG01595	HG01595	EAS
HG01596	HG01596	EAS
HG01597	HG01597	EAS
HG01598	HG01598	EAS
HG01600	HG01600	EAS
HG01602	HG01602	EUR
HG01605	HG01605	EUR
HG01606	HG01606	EUR
HG01608	HG01608	EUR
HG01612	HG01612	EUR
HG01617	HG01617	EUR
HG01626	HG01626	EUR
HG01630	HG01630	EUR
HG01673	HG01673	EUR
HG01676	HG01676	EUR
HG01678	HG01678	EUR
HG01680	HG01680	EUR
HG01684	HG01684	EUR
HG01694	HG01694	EUR
HG01699	HG01699	EUR
HG01700	HG01700	EUR
HG01756	HG01756	EUR
HG01765	HG01765	EUR
HG01766	HG01766	EUR
HG01773	HG01773	EUR
HG01776	HG01776	EUR
HG01779	HG01779	EUR
HG01786	HG01786	EUR
HG01789	HG01789	EUR
HG01791	HG01791	EUR
HG01794	HG01794	EAS
HG01796	HG01796	EAS
HG01798	HG01798	EAS
HG01800	HG01800	EAS
HG01805	HG01805	EAS
HG01806	HG01806	EAS
HG01807	HG01807	EAS
HG01809	HG01809	EAS
HG01813	HG01813	EAS
HG01815	HG01815	EAS
HG01817	HG01817	EAS
HG01840	HG01840	EAS
HG01846	HG01846	EAS
HG01851	HG01851	EAS
HG01853	HG01853	EAS
HG01859	HG01859	EAS
HG01863	HG01863	EAS
HG01865	HG01865	EAS
HG01866	HG01866	EAS
HG01870	HG01870	EAS
HG01871	HG01871	EAS
HG01872	HG01872	EAS
HG01873	HG01873	EAS
HG01879	HG01879	AFR
HG01880	HG01880	AFR
HG01883	HG01883	AFR
HG01890	HG01890	AFR
HG01894	HG01894	AFR
HG01896	HG01896	AFR
HG01915	HG01915	AFR
HG01917	HG01917	AMR
HG01918	HG01918	AMR
HG01923	HG01923	AMR
HG01932	HG01932	AMR
HG01933	HG01933	AMR
HG01935	HG01935	AMR
HG01939	HG01939	AMR
HG01942	HG01942	AMR
HG01945	HG01945	AMR
HG01947	HG01947	AMR
HG01948	HG01948	AMR
HG01950	HG01950	AMR
HG01951	HG01951	AMR
HG01953	HG01953	AMR
HG01961	HG01961	AMR
HG01965	HG01965	AMR
HG01967	HG01967	AMR
HG01971	HG01971	AMR
HG01977	HG01977	AMR
HG01982	HG01982	AMR
HG01983	HG01983	AMR
HG01985	HG01985	AFR
HG01988	HG01988	AFR
HG01990	HG01990	AFR
HG01991	HG01991	AMR
HG01992	HG01992	AMR
HG01997	HG01997	AMR
HG02003	HG02003	AMR
HG02006	HG02006	AMR
HG02009	HG02009	AFR
HG02010	HG02010	AFR
HG02012	HG02012	AFR
HG02013	HG02013	AFR
HG02014	HG02014	AFR
HG02016	HG02016	EAS
HG02017	HG02017	EAS
HG02020	HG02020	EAS
HG02031	HG02031	EAS
HG02053	HG02053	AFR
HG02058	HG02058	EAS
HG02060	HG02060	EAS
HG02064	HG02064	EAS
HG02067	HG02067	EAS
HG02069	HG02069	EAS
HG02072	HG02072	EAS
HG02079	HG02079	EAS
HG02081	HG02081	EAS
HG02082	HG02082	EAS
HG02087	HG02087	EAS
HG02089	HG02089	AMR
HG02095	HG02095	AFR
HG02105	HG02105	AMR
HG02107	HG02107	AFR
HG02111	HG02111	AFR
HG02116	HG02116	EAS
HG02121	HG02121	EAS
HG02128	HG02128	EAS
HG02130	HG02130	EAS
HG02133	HG02133	EAS
HG02136	HG02136	EAS
HG02137	HG02137	EAS
HG02138	HG02138	EAS
HG02139	HG02139	EAS
HG02143	HG02143	AFR
HG02144	HG02144	AFR
HG02146	HG02146	AMR
HG02152	HG02152	EAS
HG02153	HG02153	EAS
HG02154	HG02154	EAS
HG02155	HG02155	EAS
HG02156	HG02156	EAS
HG02164	HG02164	EAS
HG02165	HG02165	EAS
HG02178	HG02178	EAS
HG02180	HG02180	EAS
HG02182	HG02182	EAS
HG02184	HG02184	EAS
HG02189	HG02189	EAS
HG02223	HG02223	EUR
HG02224	HG02224	EUR
HG02231	HG02231	EUR
HG02238	HG02238	EUR
HG02239	HG02239	EUR
HG02250	HG02250	EAS
HG02253	HG02253	AMR
HG02265	HG02265	AMR
HG02266	HG02266	AMR
HG02271	HG02271	AMR
HG02274	HG02274	AMR
HG02275	HG02275	AMR
HG02277	HG02277	AMR
HG02283	HG02283	AFR
HG02284	HG02284	AFR
HG02285	HG02285	AMR
HG02291	HG02291	AMR
HG02292	HG02292	AMR
HG02307	HG02307	AFR
HG02308	HG02308	AFR
HG02309	HG02309	AFR
HG02314	HG02314	AFR
HG02318	HG02318	AFR
HG02325	HG02325	AFR
HG02332	HG02332	AFR
HG02337	HG02337	AFR
HG02364	HG02364	EAS
HG02367	HG02367	EAS
HG02372	HG02372	EAS
HG02382	HG02382	EAS
HG02384	HG02384	EAS
HG02390	HG02390	EAS
HG02402	HG02402	EAS
HG02410	HG02410	EAS
HG02420	HG02420	AFR
HG02429	HG02429	AFR
HG02442	HG02442	AFR
HG02445	HG02445	AFR
HG02455	HG02455	AFR
HG02477	HG02477	AFR
HG02478	HG02478	AFR
HG02485	HG02485	AFR
HG02490	HG02490	SAS
HG02493	HG02493	SAS
HG02494	HG02494	SAS
HG02496	HG02496	AFR
HG02521	HG02521	EAS
HG02522	HG02522	EAS
HG02524	HG02524	EAS
HG02545	HG02545	AFR
HG02546	HG02546	AFR
HG02554	HG02554	AFR
HG02558	HG02558	AFR
HG02561	HG02561	AFR
HG02562	HG02562	AFR
HG02568	HG02568	AFR
HG02573	HG02573	AFR
HG02577	HG02577	AFR
HG02580	HG02580	AFR
HG02582	HG02582	AFR
HG02585	HG02585	AFR
HG02588	HG02588	AFR
HG02595	HG02595	AFR
HG02597	HG02597	SAS
HG02600	HG02600	SAS
HG02604	HG02604	SAS
HG02611	HG02611	AFR
HG02634	HG02634	AFR
HG02635	HG02635	AFR
HG02643	HG02643	AFR
HG02657	HG02657	SAS
HG02661	HG02661	SAS
HG02678	HG02678	AFR
HG02679	HG02679	AFR
HG02681	HG02681	SAS
HG02684	HG02684	SAS
HG02685	HG02685	SAS
HG02687	HG02687	SAS
HG02688	HG02688	SAS
HG02690	HG02690	SAS
HG02691	HG02691	SAS
HG02697	HG02697	SAS
HG02703	HG02703	AFR
HG02715	HG02715	AFR
HG02721	HG02721	AFR
HG02724	HG02724	SAS
HG02727	HG02727	SAS
HG02728	HG02728	SAS
HG02737	HG02737	SAS
HG02768	HG02768	AFR
HG02771	HG02771	AFR
HG02781	HG02781	SAS
HG02789	HG02789	SAS
HG02793	HG02793	SAS
HG02805	HG02805	AFR
HG02836	HG02836	AFR
HG02895	HG02895	AFR
HG02922	HG02922	AFR
HG02938	HG02938	AFR
HG02943	HG02943	AFR
HG02944	HG02944	AFR
HG02953	HG02953	AFR
HG02970	HG02970	AFR
HG02971	HG02971	AFR
HG02976	HG02976	AFR
HG02982	HG02982	AFR
HG02983	HG02983	AFR
HG03009	HG03009	SAS
HG03015	HG03015	SAS
HG03016	HG03016	SAS
HG03019	HG03019	SAS
HG03024	HG03024	AFR
HG03028	HG03028	AFR
HG03039	HG03039	AFR
HG03048	HG03048	AFR
HG03052	HG03052	AFR
HG03057	HG03057	AFR
HG03058	HG03058	AFR
HG03060	HG03060	AFR
HG03066	HG03066	AFR
HG03073	HG03073	AFR
HG03074	HG03074	AFR
HG03076	HG03076	AFR
HG03077	HG03077	AFR
HG03081	HG03081	AFR
HG03085	HG03085	AFR
HG03086	HG03086	AFR
HG03091	HG03091	AFR
HG03097	HG03097	AFR
HG03100	HG03100	AFR
HG03103	HG03103	AFR
HG03105	HG03105	AFR
HG03108	HG03108	AFR
HG03109	HG03109	AFR
HG03111	HG03111	AFR
HG03112	HG03112	AFR
HG03114	HG03114	AFR
HG03115	HG03115	AFR
HG03117	HG03117	AFR
HG03124	HG03124	AFR
HG03127	HG03127	AFR
HG03130	HG03130	AFR
HG03132	HG03132	AFR
HG03133	HG03133	AFR
HG03159	HG03159	AFR
HG03163	HG03163	AFR
HG03171	HG03171	AFR
HG03172	HG03172	AFR
HG03189	HG03189	AFR
HG03193	HG03193	AFR
HG03198	HG03198	AFR
HG03199	HG03199	AFR
HG03212	HG03212	AFR
HG03228	HG03228	SAS
HG03238	HG03238	SAS
HG03240	HG03240	AFR
HG03241	HG03241	AFR
HG03247	HG03247	AFR
HG03258	HG03258	AFR
HG03265	HG03265	AFR
HG03300	HG03300	AFR
HG03301	HG03301	AFR
HG03303	HG03303	AFR
HG03307	HG03307	AFR
HG03311	HG03311	AFR
HG03342	HG03342	AFR
HG03361	HG03361	AFR
HG03372	HG03372	AFR
HG03373	HG03373	AFR
HG03383	HG03383	AFR
HG03388	HG03388	AFR
HG03391	HG03391	AFR
HG03393	HG03393	AFR
HG03394	HG03394	AFR
HG03397	HG03397	AFR
HG03410	HG03410	AFR
HG03431	HG03431	AFR
HG03437	HG03437	AFR
HG03439	HG03439	AFR
HG03442	HG03442	AFR
HG03449	HG03449	AFR
HG03455	HG03455	AFR
HG03457	HG03457	AFR
HG03461	HG03461	AFR
HG03462	HG03462	AFR
HG03470	HG03470	AFR
HG03473	HG03473	AFR
HG03476	HG03476	AFR
HG03484	HG03484	AFR
HG03485	HG03485	AFR
HG03493	HG03493	AFR
HG03499	HG03499	AFR
HG03508	HG03508	AFR
HG03511	HG03511	AFR
HG03517	HG03517	AFR
HG03518	HG03518	AFR
HG03521	HG03521	AFR
HG03539	HG03539	AFR
HG03548	HG03548	AFR
HG03577	HG03577	AFR
HG03582	HG03582	AFR
HG03593	HG03593	SAS
HG03595	HG03595	SAS
HG03598	HG03598	SAS
HG03600	HG03600	SAS
HG03604	HG03604	SAS
HG03607	HG03607	SAS
HG03633	HG03633	SAS
HG03639	HG03639	SAS
HG03640	HG03640	SAS
HG03644	HG03644	SAS
HG03645	HG03645	SAS
HG03650	HG03650	SAS
HG03672	HG03672	SAS
HG03673	HG03673	SAS
HG03681	HG03681	SAS
HG03686	HG03686	SAS
HG03687	HG03687	SAS
HG03689	HG03689	SAS
HG03690	HG03690	SAS
HG03695	HG03695	SAS
HG03697	HG03697	SAS
HG03703	HG03703	SAS
HG03705	HG03705	SAS
HG03708	HG03708	SAS
HG03709	HG03709	SAS
HG03711	HG03711	SAS
HG03714	HG03714	SAS
HG03721	HG03721	SAS
HG03722	HG03722	SAS
HG03727	HG03727	SAS
HG03729	HG03729	SAS
HG03730	HG03730	SAS
HG03740	HG03740	SAS
HG03741	HG03741	SAS
HG03742	HG03742	SAS
HG03746	HG03746	SAS
HG03753	HG03753	SAS
HG03756	HG03756	SAS
HG03760	HG03760	SAS
HG03761	HG03761	SAS
HG03780	HG03780	SAS
HG03781	HG03781	SAS
HG03784	HG03784	SAS
HG03786	HG03786	SAS
HG03792	HG03792	SAS
HG03793	HG03793	SAS
HG03794	HG03794	SAS
HG03797	HG03797	SAS
HG03800	HG03800	SAS
HG03802	HG03802	SAS
HG03803	HG03803	SAS
HG03805	HG03805	SAS
HG03809	HG03809	SAS
HG03812	HG03812	SAS
HG03816	HG03816	SAS
HG03821	HG03821	SAS
HG03824	HG03824	SAS
HG03830	HG03830	SAS
HG03836	HG03836	SAS
HG03837	HG03837	SAS
HG03838	HG03838	SAS
HG03842	HG03842	SAS
HG03844	HG03844	SAS
HG03848	HG03848	SAS
HG03854	HG03854	SAS
HG03856	HG03856	SAS
HG03862	HG03862	SAS
HG03863	HG03863	SAS
HG03869	HG03869	SAS
HG03870	HG03870	SAS
HG03871	HG03871	SAS
HG03872	HG03872	SAS
HG03882	HG03882	SAS
HG03886	HG03886	SAS
HG03888	HG03888	SAS
HG03890	HG03890	SAS
HG03894	HG03894	SAS
HG03895	HG03895	SAS
HG03900	HG03900	SAS
HG03904	HG03904	SAS
HG03916	HG03916	SAS
HG03925	HG03925	SAS
HG03928	HG03928	SAS
HG03929	HG03929	SAS
HG03931	HG03931	SAS
HG03940	HG03940	SAS
HG03941	HG03941	SAS
HG03947	HG03947	SAS
HG03963	HG03963	SAS
HG03965	HG03965	SAS
HG03968	HG03968	SAS
HG03972	HG03972	SAS
HG03973	HG03973	SAS
HG03976	HG03976	SAS
HG03977	HG03977	SAS
HG03990	HG03990	SAS
HG03999	HG03999	SAS
HG04006	HG04006	SAS
HG04014	HG04014	SAS
HG04015	HG04015	SAS
HG04017	HG04017	SAS
HG04018	HG04018	SAS
HG04020	HG04020	SAS
HG04022	HG04022	SAS
HG04024	HG04024	SAS
HG04025	HG04025	SAS
HG04039	HG04039	SAS
HG04062	HG04062	SAS
HG04070	HG04070	SAS
HG04099	HG04099	SAS
HG04118	HG04118	SAS
HG04128	HG04128	SAS
HG04131	HG04131	SAS
HG04132	HG04132	SAS
HG04140	HG04140	SAS
HG04146	HG04146	SAS
HG04147	HG04147	SAS
HG04149	HG04149	SAS
HG04156	HG04156	SAS
HG04177	HG04177	SAS
HG04180	HG04180	SAS
HG04183	HG04183	SAS
HG04186	HG04186	SAS
HG04191	HG04191	SAS
HG04192	HG04192	SAS
HG04194	HG04194	SAS
HG04198	HG04198	SAS
HG04200	HG04200	SAS
HG04210	HG04210	SAS
HG04227	HG04227	SAS
NA06989	NA06989	EUR
NA07014	NA07014	EUR
NA07019	NA07019	EUR
NA07048	NA07048	EUR
NA07348	NA07348	EUR
NA10835	NA10835	EUR
NA10839	NA10839	EUR
NA10842	NA10842	EUR
NA10843	NA10843	EUR
NA10850	NA10850	EUR
NA10851	NA10851	EUR
NA10852	NA10852	EUR
NA10856	NA10856	EUR
NA10857	NA10857	EUR
NA10859	NA10859	EUR
NA10861	NA10861	EUR
NA12335	NA12335	EUR
NA12336	NA12336	EUR
NA12376	NA12376	EUR
NA12386	NA12386	EUR
NA12766	NA12766	EUR
NA12801	NA12801	EUR
NA12802	NA12802	EUR
NA12877	NA12877	EUR
NA12878	NA12878	EUR
NA12889	NA12889	EUR
NA12890	NA12890	EUR
NA12891	NA12891	EUR
NA12892	NA12892	EUR
NA18498	NA18498	AFR
NA18499	NA18499	AFR
NA18502	NA18502	AFR
NA18504	NA18504	AFR
NA18510	NA18510	AFR
NA18516	NA18516	AFR
NA18520	NA18520	AFR
NA18523	NA18523	AFR
NA18525	NA18525	EAS
NA18526	NA18526	EAS
NA18528	NA18528	EAS
NA18530	NA18530	EAS
NA18532	NA18532	EAS
NA18537	NA18537	EAS
NA18538	NA18538	EAS
NA18539	NA18539	EAS
NA18544	NA18544	EAS
NA18546	NA18546	EAS
NA18552	NA18552	EAS
NA18553	NA18553	EAS
NA18555	NA18555	EAS
NA18565	NA18565	EAS
NA18566	NA18566	EAS
NA18567	NA18567	EAS
NA18570	NA18570	EAS
NA18571	NA18571	EAS
NA18577	NA18577	EAS
NA18579	NA18579	EAS
NA18591	NA18591	EAS
NA18592	NA18592	EAS
NA18595	NA18595	EAS
NA18599	NA18599	EAS
NA18603	NA18603	EAS
NA18605	NA18605	EAS
NA18612	NA18612	EAS
NA18616	NA18616	EAS
NA18621	NA18621	EAS
NA18623	NA18623	EAS
NA18625	NA18625	EAS
NA18632	NA18632	EAS
NA18637	NA18637	EAS
NA18639	NA18639	EAS
NA18642	NA18642	EAS
NA18853	NA18853	AFR
NA18859	NA18859	AFR
NA18862	NA18862	AFR
NA18867	NA18867	AFR
NA18868	NA18868	AFR
NA18873	NA18873	AFR
NA18874	NA18874	AFR
NA18912	NA18912	AFR
NA18913	NA18913	AFR
NA18940	NA18940	EAS
NA18941	NA18941	EAS
NA18942	NA18942	EAS
NA18944	NA18944	EAS
NA18946	NA18946	EAS
NA18947	NA18947	EAS
NA18953	NA18953	EAS
NA18956	NA18956	EAS
NA18960	NA18960	EAS
NA18965	NA18965	EAS
NA18966	NA18966	EAS
NA18968	NA18968	EAS
NA18969	NA18969	EAS
NA18971	NA18971	EAS
NA18972	NA18972	EAS
NA18974	NA18974	EAS
NA18977	NA18977	EAS
NA18980	NA18980	EAS
NA18981	NA18981	EAS
NA18983	NA18983	EAS
NA18988	NA18988	EAS
NA18989	NA18989	EAS
NA19001	NA19001	EAS
NA19003	NA19003	EAS
NA19011	NA19011	EAS
NA19012	NA19012	EAS
NA19017	NA19017	AFR
NA19019	NA19019	AFR
NA19024	NA19024	AFR
NA19027	NA19027	AFR
NA19028	NA19028	AFR
NA19031	NA19031	AFR
NA19037	NA19037	AFR
NA19043	NA19043	AFR
NA19055	NA19055	EAS
NA19059	NA19059	EAS
NA19068	NA19068	EAS
NA19070	NA19070	EAS
NA19080	NA19080	EAS
NA19086	NA19086	EAS
NA19096	NA19096	AFR
NA19101	NA19101	AFR
NA19113	NA19113	AFR
NA19114	NA19114	AFR
NA19118	NA19118	AFR
NA19119	NA19119	AFR
NA19122	NA19122	AFR
NA19127	NA19127	AFR
NA19128	NA19128	AFR
NA19129	NA19129	AFR
NA19137	NA19137	AFR
NA19144	NA19144	AFR
NA19146	NA19146	AFR
NA19147	NA19147	AFR
NA19153	NA19153	AFR
NA19189	NA19189	AFR
NA19197	NA19197	AFR
NA19207	NA19207	AFR
NA19238	NA19238	AFR
NA19307	NA19307	AFR
NA19310	NA19310	AFR
NA19315	NA19315	AFR
NA19319	NA19319	AFR
NA19327	NA19327	AFR
NA19328	NA19328	AFR
NA19331	NA19331	AFR
NA19338	NA19338	AFR
NA19347	NA19347	AFR
NA19350	NA19350	AFR
NA19351	NA19351	AFR
NA19352	NA19352	AFR
NA19355	NA19355	AFR
NA19383	NA19383	AFR
NA19385	NA19385	AFR
NA19391	NA19391	AFR
NA19393	NA19393	AFR
NA19397	NA19397	AFR
NA19398	NA19398	AFR
NA19399	NA19399	AFR
NA19403	NA19403	AFR
NA19432	NA19432	AFR
NA19439	NA19439	AFR
NA19449	NA19449	AFR
NA19453	NA19453	AFR
NA19463	NA19463	AFR
NA19472	NA19472	AFR
NA19651	NA19651	AMR
NA19652	NA19652	AMR
NA19654	NA19654	AMR
NA19655	NA19655	AMR
NA19657	NA19657	AMR
NA19658	NA19658	AMR
NA19660	NA19660	AMR
NA19661	NA19661	AMR
NA19663	NA19663	AMR
NA19664	NA19664	AMR
NA19669	NA19669	AMR
NA19675	NA19675	AMR
NA19676	NA19676	AMR
NA19679	NA19679	AMR
NA19700	NA19700	AFR
NA19701	NA19701	AFR
NA19703	NA19703	AFR
NA19707	NA19707	AFR
NA19711	NA19711	AFR
NA19717	NA19717	AMR
NA19720	NA19720	AMR
NA19723	NA19723	AMR
NA19728	NA19728	AMR
NA19729	NA19729	AMR
NA19734	NA19734	AMR
NA19735	NA19735	AMR
NA19740	NA19740	AMR
NA19747	NA19747	AMR
NA19749	NA19749	AMR
NA19750	NA19750	AMR
NA19753	NA19753	AMR
NA19758	NA19758	AMR
NA19759	NA19759	AMR
NA19762	NA19762	AMR
NA19770	NA19770	AMR
NA19774	NA19774	AMR
NA19782	NA19782	AMR
NA19786	NA19786	AMR
NA19789	NA19789	AMR
NA19818	NA19818	AFR
NA19819	NA19819	AFR
NA19828	NA19828	AFR
NA19834	NA19834	AFR
NA19835	NA19835	AFR
NA19900	NA19900	AFR
NA19901	NA19901	AFR
NA19904	NA19904	AFR
NA19908	NA19908	AFR
NA19909	NA19909	AFR
NA19916	NA19916	AFR
NA19921	NA19921	AFR
NA19985	NA19985	AFR
NA20127	NA20127	AFR
NA20276	NA20276	AFR
NA20278	NA20278	AFR
NA20281	NA20281	AFR
NA20289	NA20289	AFR
NA20294	NA20294	AFR
NA20298	NA20298	AFR
NA20314	NA20314	AFR
NA20332	NA20332	AFR
NA20334	NA20334	AFR
NA20336	NA20336	AFR
NA20342	NA20342	AFR
NA20346	NA20346	AFR
NA20348	NA20348	AFR
NA20356	NA20356	AFR
NA20357	NA20357	AFR
NA20359	NA20359	AFR
NA20363	NA20363	AFR
NA20503	NA20503	EUR
NA20504	NA20504	EUR
NA20505	NA20505	EUR
NA20514	NA20514	EUR
NA20520	NA20520	EUR
NA20525	NA20525	EUR
NA20526	NA20526	EUR
NA20530	NA20530	EUR
NA20531	NA20531	EUR
NA20532	NA20532	EUR
NA20534	NA20534	EUR
NA20536	NA20536	EUR
NA20538	NA20538	EUR
NA20539	NA20539	EUR
NA20540	NA20540	EUR
NA20585	NA20585	EUR
NA20587	NA20587	EUR
NA20588	NA20588	EUR
NA20753	NA20753	EUR
NA20757	NA20757	EUR
NA20761	NA20761	EUR
NA20762	NA20762	EUR
NA20764	NA20764	EUR
NA20769	NA20769	EUR
NA20775	NA20775	EUR
NA20778	NA20778	EUR
NA20785	NA20785	EUR
NA20787	NA20787	EUR
NA20795	NA20795	EUR
NA20801	NA20801	EUR
NA20805	NA20805	EUR
NA20810	NA20810	EUR
NA20813	NA20813	EUR
NA20822	NA20822	EUR
NA20846	NA20846	SAS
NA20847	NA20847	SAS
NA20852	NA20852	SAS
NA20853	NA20853	SAS
NA20858	NA20858	SAS
NA20861	NA20861	SAS
NA20863	NA20863	SAS
NA20866	NA20866	SAS
NA20867	NA20867	SAS
NA20873	NA20873	SAS
NA20876	NA20876	SAS
NA20883	NA20883	SAS
NA20885	NA20885	SAS
NA20888	NA20888	SAS
NA20890	NA20890	SAS
NA20893	NA20893	SAS
NA20896	NA20896	SAS
NA20898	NA20898	SAS
NA20899	NA20899	SAS
NA20900	NA20900	SAS
NA20901	NA20901	SAS
NA21098	NA21098	SAS
NA21099	NA21099	SAS
NA21101	NA21101	SAS
NA21102	NA21102	SAS
NA21103	NA21103	SAS
NA21110	NA21110	SAS
NA21111	NA21111	SAS
NA21113	NA21113	SAS
