Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ETHNICITY,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR15475833,not collected,AMPLICON,7597,987692,not applicable,PRJNA754842,SAMN20807791,Human,641148,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776329,Sequel,AR-121,m54042_190928_112019_AR-121_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-121,not collected,SRP332705,blood
SRR15475834,not collected,AMPLICON,6055,13666511,not applicable,PRJNA754842,SAMN20807688,Human,5386779,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776328,Sequel,AR-013,m54042_190926_081310_AR-013_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-013,not collected,SRP332705,blood
SRR15475835,not collected,AMPLICON,6111,5133785,not applicable,PRJNA754842,SAMN20807791,Human,2376129,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776327,Sequel,AR-121,m54042_190928_112019_AR-121_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-121,not collected,SRP332705,blood
SRR15475836,not collected,AMPLICON,7552,740109,not applicable,PRJNA754842,SAMN20807790,Human,486988,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776326,Sequel,AR-120,m54042_190928_112019_AR-120_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-120,not collected,SRP332705,blood
SRR15475837,not collected,AMPLICON,6119,4161595,not applicable,PRJNA754842,SAMN20807790,Human,1927369,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776325,Sequel,AR-120,m54042_190928_112019_AR-120_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-120,not collected,SRP332705,blood
SRR15475838,not collected,AMPLICON,7592,1488174,not applicable,PRJNA754842,SAMN20807789,Human,844455,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776324,Sequel,AR-119,m54042_190928_112019_AR-119_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-119,not collected,SRP332705,blood
SRR15475839,not collected,AMPLICON,6112,5549996,not applicable,PRJNA754842,SAMN20807789,Human,2416160,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776323,Sequel,AR-119,m54042_190928_112019_AR-119_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-119,not collected,SRP332705,blood
SRR15475840,not collected,AMPLICON,7439,1391205,not applicable,PRJNA754842,SAMN20807788,Human,810000,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776322,Sequel,AR-118,m54042_190928_112019_AR-118_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-118,not collected,SRP332705,blood
SRR15475841,not collected,AMPLICON,6042,4833858,not applicable,PRJNA754842,SAMN20807788,Human,2161275,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776321,Sequel,AR-118,m54042_190928_112019_AR-118_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-118,not collected,SRP332705,blood
SRR15475842,not collected,AMPLICON,7448,938556,not applicable,PRJNA754842,SAMN20807787,Human,596471,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776320,Sequel,AR-117,m54042_190928_112019_AR-117_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-117,not collected,SRP332705,blood
SRR15475843,not collected,AMPLICON,6065,4494663,not applicable,PRJNA754842,SAMN20807787,Human,2024844,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776319,Sequel,AR-117,m54042_190928_112019_AR-117_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-117,not collected,SRP332705,blood
SRR15475844,not collected,AMPLICON,7199,244780,not applicable,PRJNA754842,SAMN20807786,Human,259569,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776318,Sequel,AR-116,m54042_191115_043102_AR-116_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-116,not collected,SRP332705,blood
SRR15475845,not collected,AMPLICON,7527,1806592,not applicable,PRJNA754842,SAMN20807687,Human,1403525,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776317,Sequel,AR-012,m54042_190927_043336_AR-012_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-012,not collected,SRP332705,blood
SRR15475846,not collected,AMPLICON,6121,1224257,not applicable,PRJNA754842,SAMN20807786,Human,593525,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776316,Sequel,AR-116,m54042_191115_043102_AR-116_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-116,not collected,SRP332705,blood
SRR15475847,not collected,AMPLICON,7538,301528,not applicable,PRJNA754842,SAMN20807785,Human,270608,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776315,Sequel,AR-115,m54042_191115_043102_AR-115_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-115,not collected,SRP332705,blood
SRR15475848,not collected,AMPLICON,6066,2705599,not applicable,PRJNA754842,SAMN20807785,Human,1184193,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776314,Sequel,AR-115,m54042_191115_043102_AR-115_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-115,not collected,SRP332705,blood
SRR15475849,not collected,AMPLICON,7644,382247,not applicable,PRJNA754842,SAMN20807784,Human,307410,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776313,Sequel,AR-114,m54042_191115_043102_AR-114_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-114,not collected,SRP332705,blood
SRR15475850,not collected,AMPLICON,6121,2454646,not applicable,PRJNA754842,SAMN20807784,Human,1102436,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776312,Sequel,AR-114,m54042_191115_043102_AR-114_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-114,not collected,SRP332705,blood
SRR15475851,not collected,AMPLICON,7502,472641,not applicable,PRJNA754842,SAMN20807783,Human,334764,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776311,Sequel,AR-113,m54042_191115_043102_AR-113_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-113,not collected,SRP332705,blood
SRR15475852,not collected,AMPLICON,6003,3085608,not applicable,PRJNA754842,SAMN20807783,Human,1336362,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776310,Sequel,AR-113,m54042_191115_043102_AR-113_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-113,not collected,SRP332705,blood
SRR15475853,not collected,AMPLICON,7561,967821,not applicable,PRJNA754842,SAMN20807782,Human,465177,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776309,Sequel II,AR-112,m64123_210408_050021_AR-112_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-112,not collected,SRP332705,blood
SRR15475854,not collected,AMPLICON,6186,5499908,not applicable,PRJNA754842,SAMN20807782,Human,1651434,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776308,Sequel II,AR-112,m64123_210408_050021_AR-112_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-112,not collected,SRP332705,blood
SRR15475855,not collected,AMPLICON,6112,61125,not applicable,PRJNA754842,SAMN20807782,Human,184418,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Melanesian,SRX11776307,Sequel,AR-112,m54042_191115_043102_AR-112_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-112,not collected,SRP332705,blood
SRR15475856,not collected,AMPLICON,6111,10206426,not applicable,PRJNA754842,SAMN20807687,Human,6225624,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776306,Sequel,AR-012,m54042_190927_043336_AR-012_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-012,not collected,SRP332705,blood
SRR15475857,not collected,AMPLICON,7531,5415365,not applicable,PRJNA754842,SAMN20807781,Human,1917242,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776305,Sequel II,AR-111,m64123_210408_050021_AR-111_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-111,not collected,SRP332705,blood
SRR15475858,not collected,AMPLICON,6169,22185567,not applicable,PRJNA754842,SAMN20807781,Human,6492346,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776304,Sequel II,AR-111,m64123_210408_050021_AR-111_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-111,not collected,SRP332705,blood
SRR15475859,not collected,AMPLICON,7529,715280,not applicable,PRJNA754842,SAMN20807780,Human,481950,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Melanesian,SRX11776303,Sequel,AR-110,m54042_190928_112019_AR-110_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-110,not collected,SRP332705,blood
SRR15475860,not collected,AMPLICON,6108,3732372,not applicable,PRJNA754842,SAMN20807780,Human,1729976,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776302,Sequel,AR-110,m54042_190928_112019_AR-110_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-110,not collected,SRP332705,blood
SRR15475861,not collected,AMPLICON,7437,1018923,not applicable,PRJNA754842,SAMN20807779,Human,631277,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776301,Sequel,AR-109,m54042_190928_112019_AR-109_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-109,not collected,SRP332705,blood
SRR15475862,not collected,AMPLICON,5995,4328760,not applicable,PRJNA754842,SAMN20807779,Human,2006738,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776300,Sequel,AR-109,m54042_190928_112019_AR-109_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-109,not collected,SRP332705,blood
SRR15475863,not collected,AMPLICON,7492,951485,not applicable,PRJNA754842,SAMN20807778,Human,619261,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776299,Sequel,AR-108,m54042_190928_112019_AR-108_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-108,not collected,SRP332705,blood
SRR15475864,not collected,AMPLICON,6332,1196810,not applicable,PRJNA754842,SAMN20808016,Human,516254,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776298,Sequel II,AR-365,m64123_210408_050021_AR-365_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-365,not collected,SRP332705,blood
SRR15475865,not collected,AMPLICON,7503,945427,not applicable,PRJNA754842,SAMN20808015,Human,456582,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776297,Sequel II,AR-363,m64123_210408_050021_AR-363_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-363,not collected,SRP332705,blood
SRR15475866,not collected,AMPLICON,6162,1552937,not applicable,PRJNA754842,SAMN20808015,Human,601072,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776296,Sequel II,AR-363,m64123_210408_050021_AR-363_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-363,not collected,SRP332705,blood
SRR15475867,not collected,AMPLICON,6036,9061381,not applicable,PRJNA754842,SAMN20807711,Human,5561591,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776295,Sequel,AR-037,m54042_190927_043336_AR-037_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-037,not collected,SRP332705,blood
SRR15475868,not collected,AMPLICON,7505,2018887,not applicable,PRJNA754842,SAMN20807679,Human,885423,WALTER AND ELIZA HALL INSTITUTE,public,"sra,run.zq,bam","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776294,Sequel II,AR-004,m64123_210408_050021_AR-004_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-004,not collected,SRP332705,blood
SRR15475869,not collected,AMPLICON,7473,485789,not applicable,PRJNA754842,SAMN20808014,Human,331337,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,sra,bam","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776293,Sequel II,AR-362,m64123_210408_050021_AR-362_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-362,not collected,SRP332705,blood
SRR15475870,not collected,AMPLICON,6176,1951889,not applicable,PRJNA754842,SAMN20808014,Human,733680,WALTER AND ELIZA HALL INSTITUTE,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776292,Sequel II,AR-362,m64123_210408_050021_AR-362_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-362,not collected,SRP332705,blood
SRR15475871,not collected,AMPLICON,7520,526444,not applicable,PRJNA754842,SAMN20808013,Human,322163,WALTER AND ELIZA HALL INSTITUTE,public,"bam,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776291,Sequel II,AR-361,m64123_210408_050021_AR-361_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-361,not collected,SRP332705,blood
SRR15475872,not collected,AMPLICON,6192,2557532,not applicable,PRJNA754842,SAMN20808013,Human,916024,WALTER AND ELIZA HALL INSTITUTE,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",Melanesian,SRX11776290,Sequel II,AR-361,m64123_210408_050021_AR-361_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-361,not collected,SRP332705,blood
SRR15475873,not collected,AMPLICON,7066,247324,not applicable,PRJNA754842,SAMN20808012,Human,285591,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Melanesian,SRX11776289,Sequel,AR-360,m54042_191116_205646_AR-360_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-360,not collected,SRP332705,blood
SRR15475874,not collected,AMPLICON,6095,1548140,not applicable,PRJNA754842,SAMN20808012,Human,842730,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Melanesian,SRX11776288,Sequel,AR-360,m54042_191116_205646_AR-360_CYP2D6,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-360,not collected,SRP332705,blood
SRR15475875,not collected,AMPLICON,7585,310990,not applicable,PRJNA754842,SAMN20808011,Human,313629,WALTER AND ELIZA HALL INSTITUTE,public,"bam,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Melanesian,SRX11776287,Sequel,AR-359,m54042_191116_205646_AR-359_CYP2D7,SINGLE,PCR,GENOMIC,Homo sapiens,PACBIO_SMRT,2021-08-16T00:00:00Z,2021-08-16T13:26:00Z,1,AR-359,not collected,SRP332705,blood
