sample,gene,truth_1,truth_2,infer_1,infer_2
NA18506,TRAV25,01,N_103,TRAV25*01,TRAV25*01
NA18506,TRAV26-1,01,01,TRAV26-1*01,TRAV26-1*01
NA18506,TRAV8-7,01,02,TRAV8-7*01,TRAV8-7*02
NA18506,TRAV27,01,N_108,TRAV27*01,TRAV27*01
NA18506,TRAV30,01,01,TRAV30*01,TRAV30*01
NA18506,TRAV26-2,01,01,TRAV26-2*01,TRAV26-2*01
NA18506,TRAV34,01,01,TRAV34*01,TRAV34*01
NA18506,TRAV38-1,01,N_155,TRAV38-1*01,TRAV38-1*01
NA18506,TRAV39,01,01,TRAV39*01,TRAV39*01
NA18506,TRAV40,01,01,TRAV40*01,TRAV40*01
NA18506,TRAV41,01,01,TRAV41*01,TRAV41*01
NA18506,TRDV2,03,03,TRDV2*03,TRDV2*03
NA18506,TRDD1,01,01,TRDD1*01,TRDD1*01
NA18506,TRDD2,01,01,TRDD2*01,TRDD2*01
NA18506,TRDD3,01,01,TRDD3*01,TRDD3*01
NA18506,TRDJ1,01,01,TRDJ1*01,TRDJ1*01
NA18506,TRDJ4,M_1,M_1,TRDJ4*01,TRDJ4*01
NA18506,TRDJ2,01,01,TRDJ2*01,TRDJ2*01
NA18506,TRDJ3,01,01,TRDJ3*01,TRDJ3*01
NA18506,TRDV3,01,01,TRDV3*01,TRDV3*01
NA18506,TRAJ61,01,01,TRAJ61*01,TRAJ61*01
NA18506,TRAJ59,01,01,TRAJ59*01,TRAJ59*01
NA18506,TRAJ58,01,01,TRAJ58*01,TRAJ58*01
NA18506,TRAJ57,01,01,TRAJ57*01,TRAJ57*01
NA18506,TRAJ56,01,01,TRAJ56*01,TRAJ56*01
NA18506,TRAJ54,01,01,TRAJ54*01,TRAJ54*01
NA18506,TRAJ53,01,01,TRAJ53*01,TRAJ53*01
NA18506,TRAJ52,01,01,TRAJ52*01,TRAJ52*01
NA18506,TRAJ50,01,01,TRAJ50*01,TRAJ50*01
NA18506,TRAJ49,01,01,TRAJ49*01,TRAJ49*01
NA18506,TRAJ48,01,01,TRAJ48*01,TRAJ48*01
NA18506,TRAJ47,01,01,TRAJ47*01,TRAJ47*01
NA18506,TRAJ46,01,01,TRAJ46*01,TRAJ46*01
NA18506,TRAJ45,01,01,TRAJ45*01,TRAJ45*01
NA18506,TRAJ44,01,01,TRAJ44*01,TRAJ44*01
NA18506,TRAJ43,01,01,TRAJ43*01,TRAJ43*01
NA18506,TRAJ42,01,01,TRAJ42*01,TRAJ42*01
NA18506,TRAJ41,01,01,TRAJ41*01,TRAJ41*01
NA18506,TRAJ40,01,01,TRAJ40*01,TRAJ40*01
NA18506,TRAJ39,01,01,TRAJ39*01,TRAJ39*01
NA18506,TRAJ38,01,01,TRAJ38*01,TRAJ38*01
NA18506,TRAJ37,01,01,TRAJ37*01,TRAJ37*01
NA18506,TRAJ36,01,01,TRAJ36*01,TRAJ36*01
NA18506,TRAJ35,01,01,TRAJ35*01,TRAJ35*01
NA18506,TRAJ34,01,01,TRAJ34*01,TRAJ34*01
NA18506,TRAJ33,01,01,TRAJ33*01,TRAJ33*01
NA18506,TRAJ32,02,02,TRAJ32*02,TRAJ32*02
NA18506,TRAJ31,01,01,TRAJ31*01,TRAJ31*01
NA18506,TRAJ30,01,01,TRAJ30*01,TRAJ30*01
NA18506,TRAJ29,01,01,TRAJ29*01,TRAJ29*01
NA18506,TRAJ28,01,01,TRAJ28*01,TRAJ28*01
NA18506,TRAJ27,01,01,TRAJ27*01,TRAJ27*01
NA18506,TRAJ26,01,01,TRAJ26*01,TRAJ26*01
NA18506,TRAJ25,01,01,TRAJ25*01,TRAJ25*01
NA18506,TRAJ24,02,02,TRAJ24*02,TRAJ24*02
NA18506,TRAJ23,01,01,TRAJ23*01,TRAJ23*01
NA18506,TRAJ22,01,01,TRAJ22*01,TRAJ22*01
NA18506,TRAJ21,01,01,TRAJ21*01,TRAJ21*01
NA18506,TRAJ20,01,01,TRAJ20*01,TRAJ20*01
NA18506,TRAJ19,M_2,M_2,TRAJ19*01,TRAJ19*01
NA18506,TRAJ18,01,01,TRAJ18*01,TRAJ18*01
NA18506,TRAJ17,01,01,TRAJ17*01,TRAJ17*01
NA18506,TRAJ16,02,02,TRAJ16*02,TRAJ16*02
NA18506,TRAJ14,01,01,TRAJ14*01,TRAJ14*01
NA18506,TRAJ13,02,02,TRAJ13*02,TRAJ13*02
NA18506,TRAJ12,01,01,TRAJ12*01,TRAJ12*01
NA18506,TRAJ11,01,01,TRAJ11*01,TRAJ11*01
NA18506,TRAJ10,01,01,TRAJ10*01,TRAJ10*01
NA18506,TRAJ9,01,01,TRAJ9*01,TRAJ9*01
NA18506,TRAJ7,01,01,TRAJ7*01,TRAJ7*01
NA18506,TRAJ6,01,01,TRAJ6*01,TRAJ6*01
NA18506,TRAJ5,01,01,TRAJ5*01,TRAJ5*01
NA18506,TRAJ4,01,01,TRAJ4*01,TRAJ4*01
NA18506,TRAJ3,01,01,TRAJ3*01,TRAJ3*01
NA18506,TRAJ2,01,01,TRAJ2*01,TRAJ2*01
NA18506,TRAJ1,01,01,TRAJ1*01,TRAJ1*01
NA18506,TRBV2,01,01,TRBV2*01,TRBV2*01
NA18506,TRBV3-1,01,01,TRBV3-1*01,TRBV3-1*01
NA18506,TRBV4-1,01,01,TRBV4-1*01,TRBV4-1*01
NA18506,TRBV5-1,01,01,TRBV5-1*01,TRBV5-1*01
NA18506,TRBV6-1,01,01,TRBV6-1*01,TRBV6-1*01
NA18506,TRBV7-1,01,01,TRBV7-1*01,TRBV7-1*01
NA18506,TRBV4-2,01,01,TRBV4-2*01,TRBV4-2*01
NA18506,TRBV6-2,01,01,TRBV6-2*01,TRBV6-2*01
NA18506,TRBV7-2,02,02,TRBV7-2*02,TRBV7-2*02
NA18506,TRBV6-4,01,01,TRBV6-4*01,TRBV6-4*01
NA18506,TRBV7-3,01,01,TRBV7-3*01,TRBV7-3*01
NA18506,TRBV5-3,01,N_126,TRBV5-3*01,TRBV5-3*01
NA18506,TRBV9,01,01,TRBV9*01,TRBV9*01
NA18506,TRBV10-1,01,N_13,TRBV10-1*01,TRBV10-1*02
NA18506,TRBV11-1,01,01,TRBV11-1*01,TRBV11-1*01
NA18506,TRBV10-2,01,01,TRBV10-2*01,TRBV10-2*01
NA18506,TRBV11-2,01,N_17,TRBV11-2*01,TRBV11-2*01
NA18506,TRBV6-5,01,01,TRBV6-5*01,TRBV6-5*01
NA18506,TRBV7-4,01,N_129,TRBV7-4*01,TRBV7-4*01
NA18506,TRBV5-4,01,N_130,TRBV5-4*01,TRBV5-4*01
NA18506,TRBV6-6,N_22,N_132,TRBV6-6*03,TRBV6-6*03
NA18506,TRBV5-5,01,01,TRBV5-5*01,TRBV5-5*01
NA18506,TRBV6-7,01,N_134,TRBV6-7*01,TRBV6-7*01
NA18506,TRBV7-6,01,N_135,TRBV7-6*01,TRBV7-6*01
NA18506,TRBV5-6,01,01,TRBV5-6*01,TRBV5-6*01
NA18506,TRBV6-8,01,N_30,TRBV6-8*01,TRBV6-8*01
NA18506,TRBV7-7,01,N_31,TRBV7-7*01,TRBV7-7*01
NA18506,TRBV5-7,01,01,TRBV5-7*01,TRBV5-7*01
NA18506,TRBV7-9,03,N_137,TRBV7-9*03,TRBV7-9*03
NA18506,TRBV13,01,01,TRBV13*01,TRBV13*01
NA18506,TRBV10-3,01,01,TRBV10-3*01,TRBV10-3*01
NA18506,TRBV11-3,01,01,TRBV11-3*01,TRBV11-3*01
NA18506,TRBV12-3,N_138,N_43,TRBV12-3*01,TRBV12-3*01
NA18506,TRBV12-4,01,01,TRBV12-4*01,TRBV12-4*01
NA18506,TRBV12-5,01,01,TRBV12-5*01,TRBV12-5*01
NA18506,TRBV14,01,01,TRBV14*01,TRBV14*01
NA18506,TRBV15,01,02,TRBV15*01,TRBV15*02
NA18506,TRBV16,01,02,TRBV16*02,TRBV16*01
NA18506,TRBV17,01,01,TRBV17*01,TRBV17*01
NA18506,TRBV18,01,N_50,TRBV18*01,TRBV18*01
NA18506,TRBV19,01,01,TRBV19*01,TRBV19*01
NA18506,TRBV20-1,01,02,TRBV20-1*02,TRBV20-1*02
NA18506,TRBV23-1,01,01,TRBV23-1*01,TRBV23-1*01
NA18506,TRBV24-1,01,01,TRBV24-1*01,TRBV24-1*01
NA18506,TRBV25-1,01,01,TRBV25-1*01,TRBV25-1*01
NA18506,TRBV27,01,01,TRBV27*01,TRBV27*01
NA18506,TRBV28,01,01,TRBV28*01,TRBV28*01
NA18506,TRBV29-1,01,01,TRBV29-1*01,TRBV29-1*01
NA18506,TRBD1,01,01,TRBD1*01,TRBD1*01
NA18506,TRBJ1-1,01,01,TRBJ1-1*01,TRBJ1-1*01
NA18506,TRBJ1-2,01,01,TRBJ1-2*01,TRBJ1-2*01
NA18506,TRBJ1-3,01,01,TRBJ1-3*01,TRBJ1-3*01
NA18506,TRBJ1-4,01,01,TRBJ1-4*01,TRBJ1-4*01
NA18506,TRBJ1-5,01,01,TRBJ1-5*01,TRBJ1-5*01
NA18506,TRBJ1-6,02,02,TRBJ1-6*02,TRBJ1-6*02
NA18506,TRBJ2-1,01,01,TRBJ2-1*01,TRBJ2-1*01
NA18506,TRBJ2-2,01,01,TRBJ2-2*01,TRBJ2-2*01
NA18506,TRBV30,02,02,TRBV30*02,TRBV30*02
NA18508,TRAV1-1,02,02,TRAV1-1*02,TRAV1-1*02
NA18508,TRAV1-2,01,01,TRAV1-2*01,TRAV1-2*01
NA18508,TRAV2,01,01,TRAV2*01,TRAV2*01
NA18508,TRAV3,01,01,TRAV3*01,TRAV3*01
NA18508,TRAV4,01,01,TRAV4*01,TRAV4*01
NA18508,TRAV5,01,01,TRAV5*01,TRAV5*01
NA18508,TRAV6,02,03,TRAV6*03,TRAV6*02
NA18508,TRAV7,01,01,TRAV7*01,TRAV7*01
NA18508,TRAV8-1,01,N_71,TRAV8-1*01,TRAV8-1*01
NA18508,TRAV9-1,01,01,TRAV9-1*01,TRAV9-1*01
NA18508,TRAV10,01,01,TRAV10*01,TRAV10*01
NA18508,TRAV12-1,01,01,TRAV12-1*01,TRAV12-1*01
NA18508,TRAV8-2,01,01,TRAV8-2*01,TRAV8-2*01
NA18508,TRAV8-3,01,02,TRAV8-3*02,TRAV8-3*01
NA18508,TRAV13-1,02,02,TRAV13-1*02,TRAV13-1*02
NA18508,TRAV12-2,01,02,TRAV12-2*01,TRAV12-2*02
NA18508,TRAV8-4,01,N_83,TRAV8-4*01,TRAV8-4*03
NA18508,TRAV13-2,01,N_85,TRAV13-2*01,TRAV13-2*01
NA18508,TRAV9-2,01,01,TRAV9-2*01,TRAV9-2*01
NA18508,TRAV12-3,01,01,TRAV12-3*01,TRAV12-3*01
NA18508,TRAV8-6,02,02,TRAV8-6*02,TRAV8-6*02
NA18508,TRAV16,01,01,TRAV16*01,TRAV16*01
NA18508,TRAV17,01,01,TRAV17*01,TRAV17*01
NA18508,TRAV18,01,01,TRAV18*01,TRAV18*01
NA18508,TRAV19,01,01,TRAV19*01,TRAV19*01
NA18508,TRAV20,02,02,TRAV20*02,TRAV20*02
NA18508,TRAV21,01,02,TRAV21*02,TRAV21*01
NA18508,TRAV22,01,01,TRAV22*01,TRAV22*01
NA18508,TRAV24,01,01,TRAV24*01,TRAV24*01
NA18508,TRAV25,01,N_103,TRAV25*01,TRAV25*01
NA18508,TRAV26-1,01,02,TRAV26-1*01,TRAV26-1*02
NA18508,TRAV8-7,01,02,TRAV8-7*02,TRAV8-7*01
NA18508,TRAV27,01,N_108,TRAV27*01,NA
NA18508,TRAV30,01,N_111,TRAV30*01,TRAV30*01
NA18508,TRAV26-2,01,01,TRAV26-2*01,TRAV26-2*01
NA18508,TRAV34,01,01,TRAV34*01,TRAV34*01
NA18508,TRAV38-1,01,01,TRAV38-1*01,TRAV38-1*01
NA18508,TRAV39,01,01,TRAV39*01,TRAV39*01
NA18508,TRAV40,01,01,TRAV40*01,TRAV40*01
NA18508,TRAV41,01,01,TRAV41*01,TRAV41*01
NA18508,TRDV2,03,03,TRDV2*03,TRDV2*03
NA18508,TRDD1,01,01,TRDD1*01,TRDD1*01
NA18508,TRDD2,01,01,TRDD2*01,TRDD2*01
NA18508,TRDD3,01,01,TRDD3*01,TRDD3*01
NA18508,TRDJ1,01,01,TRDJ1*01,TRDJ1*01
NA18508,TRDJ4,M_1,M_1,TRDJ4*01,TRDJ4*01
NA18508,TRDJ2,01,01,TRDJ2*01,TRDJ2*01
NA18508,TRDJ3,01,01,TRDJ3*01,TRDJ3*01
NA18508,TRDV3,01,01,TRDV3*01,TRDV3*01
NA18508,TRAJ61,01,01,TRAJ61*01,TRAJ61*01
NA18508,TRAJ59,01,01,TRAJ59*01,TRAJ59*01
NA18508,TRAJ58,01,01,TRAJ58*01,TRAJ58*01
NA18508,TRAJ57,01,01,TRAJ57*01,TRAJ57*01
NA18508,TRAJ56,01,01,TRAJ56*01,TRAJ56*01
NA18508,TRAJ54,01,01,TRAJ54*01,TRAJ54*01
NA18508,TRAJ53,01,01,TRAJ53*01,TRAJ53*01
NA18508,TRAJ52,01,01,TRAJ52*01,TRAJ52*01
NA18508,TRAJ50,01,01,TRAJ50*01,TRAJ50*01
NA18508,TRAJ49,01,01,TRAJ49*01,TRAJ49*01
NA18508,TRAJ48,01,01,TRAJ48*01,TRAJ48*01
NA18508,TRAJ47,01,01,TRAJ47*01,TRAJ47*01
NA18508,TRAJ46,01,01,TRAJ46*01,TRAJ46*01
NA18508,TRAJ45,01,01,TRAJ45*01,TRAJ45*01
NA18508,TRAJ44,01,M_4,TRAJ44*01,TRAJ44*01
NA18508,TRAJ43,01,01,TRAJ43*01,TRAJ43*01
NA18508,TRAJ42,01,01,TRAJ42*01,TRAJ42*01
NA18508,TRAJ41,01,01,TRAJ41*01,TRAJ41*01
NA18508,TRAJ40,01,01,TRAJ40*01,TRAJ40*01
NA18508,TRAJ39,01,01,TRAJ39*01,TRAJ39*01
NA18508,TRAJ38,01,01,TRAJ38*01,TRAJ38*01
NA18508,TRAJ37,01,01,TRAJ37*01,TRAJ37*01
NA18508,TRAJ36,01,01,TRAJ36*01,TRAJ36*01
NA18508,TRAJ35,01,01,TRAJ35*01,TRAJ35*01
NA18508,TRAJ34,01,01,TRAJ34*01,TRAJ34*01
NA18508,TRAJ33,01,01,TRAJ33*01,TRAJ33*01
NA18508,TRAJ32,01,02,TRAJ32*01,TRAJ32*02
NA18508,TRAJ31,01,01,TRAJ31*01,TRAJ31*01
NA18508,TRAJ30,01,01,TRAJ30*01,TRAJ30*01
NA18508,TRAJ29,01,01,TRAJ29*01,TRAJ29*01
NA18508,TRAJ28,01,01,TRAJ28*01,TRAJ28*01
NA18508,TRAJ27,01,01,TRAJ27*01,TRAJ27*01
NA18508,TRAJ26,01,01,TRAJ26*01,TRAJ26*01
NA18508,TRAJ25,01,01,TRAJ25*01,TRAJ25*01
NA18508,TRAJ24,02,02,TRAJ24*02,TRAJ24*02
NA18508,TRAJ23,01,01,TRAJ23*01,TRAJ23*01
NA18508,TRAJ22,01,01,TRAJ22*01,TRAJ22*01
NA18508,TRAJ21,01,01,TRAJ21*01,TRAJ21*01
NA18508,TRAJ20,01,01,TRAJ20*01,TRAJ20*01
NA18508,TRAJ19,01,M_2,TRAJ19*01,TRAJ19*01
NA18508,TRAJ18,01,01,TRAJ18*01,TRAJ18*01
NA18508,TRAJ17,01,01,TRAJ17*01,TRAJ17*01
NA18508,TRAJ16,02,02,TRAJ16*02,TRAJ16*02
NA18508,TRAJ14,01,01,TRAJ14*01,TRAJ14*01
NA18508,TRAJ13,02,02,TRAJ13*02,TRAJ13*02
NA18508,TRAJ12,01,01,TRAJ12*01,TRAJ12*01
NA18508,TRAJ11,01,01,TRAJ11*01,TRAJ11*01
NA18508,TRAJ10,01,01,TRAJ10*01,TRAJ10*01
NA18508,TRAJ9,01,01,TRAJ9*01,TRAJ9*01
NA18508,TRAJ7,01,01,TRAJ7*01,TRAJ7*01
NA18508,TRAJ6,01,01,TRAJ6*01,TRAJ6*01
NA18508,TRAJ5,01,01,TRAJ5*01,TRAJ5*01
NA18508,TRAJ4,01,01,TRAJ4*01,TRAJ4*01
NA18508,TRAJ3,01,M_5,TRAJ3*01,TRAJ3*01
NA18508,TRAJ2,01,01,TRAJ2*01,TRAJ2*01
NA18508,TRAJ1,01,01,TRAJ1*01,TRAJ1*01
NA18508,TRBV2,01,01,TRBV2*01,TRBV2*01
NA18508,TRBV3-1,01,01,TRBV3-1*01,TRBV3-1*01
NA18508,TRBV4-1,01,01,TRBV4-1*01,TRBV4-1*01
NA18508,TRBV5-1,01,01,TRBV5-1*01,TRBV5-1*01
NA18508,TRBV6-1,01,01,TRBV6-1*01,TRBV6-1*01
NA18508,TRBV7-1,01,01,TRBV7-1*01,TRBV7-1*01
NA18508,TRBV4-2,01,01,TRBV4-2*01,TRBV4-2*01
NA18508,TRBV6-2,01,01,TRBV6-2*01,TRBV6-2*01
NA18508,TRBV7-2,02,02,TRBV7-2*02,TRBV7-2*02
NA18508,TRBV6-4,01,01,TRBV6-4*01,TRBV6-4*01
NA18508,TRBV7-3,01,01,TRBV7-3*01,TRBV7-3*01
NA18508,TRBV5-3,01,01,TRBV5-3*01,TRBV5-3*01
NA18508,TRBV9,01,01,TRBV9*01,TRBV9*01
NA18508,TRBV10-1,01,N_13,TRBV10-1*02,TRBV10-1*01
NA18508,TRBV11-1,01,01,TRBV11-1*01,TRBV11-1*01
NA18508,TRBV10-2,01,01,TRBV10-2*01,TRBV10-2*01
NA18508,TRBV11-2,01,N_17,TRBV11-2*01,TRBV11-2*01
NA18508,TRBV6-5,01,01,TRBV6-5*01,TRBV6-5*01
NA18508,TRBV7-4,01,01,TRBV7-4*01,TRBV7-4*01
NA18508,TRBV5-4,01,01,TRBV5-4*01,TRBV5-4*01
NA18508,TRBV6-6,01,N_22,TRBV6-6*01,TRBV6-6*01
NA18508,TRBV5-5,01,02,TRBV5-5*01,TRBV5-5*02
NA18508,TRBV6-7,01,01,TRBV6-7*01,TRBV6-7*01
NA18508,TRBV7-6,01,01,TRBV7-6*01,TRBV7-6*01
NA18508,TRBV5-6,01,01,TRBV5-6*01,TRBV5-6*01
NA18508,TRBV6-8,01,N_30,TRBV6-8*01,TRBV6-8*01
NA18508,TRBV7-7,01,N_31,TRBV7-7*01,TRBV7-7*01
NA18508,TRBV5-7,01,01,TRBV5-7*01,TRBV5-7*01
NA18508,TRBV7-9,03,03,TRBV7-9*03,TRBV7-9*03
NA18508,TRBV13,01,01,TRBV13*01,TRBV13*01
NA18508,TRBV10-3,01,02,TRBV10-3*01,TRBV10-3*02
NA18508,TRBV11-3,01,01,TRBV11-3*01,TRBV11-3*01
NA18508,TRBV12-3,01,N_43,TRBV12-3*01,TRBV12-3*01
NA18508,TRBV12-4,01,01,TRBV12-4*01,TRBV12-4*01
NA18508,TRBV12-5,01,01,TRBV12-5*01,TRBV12-5*01
NA18508,TRBV14,01,01,TRBV14*01,TRBV14*01
NA18508,TRBV15,01,01,TRBV15*01,TRBV15*01
NA18508,TRBV16,02,02,TRBV16*02,TRBV16*02
NA18508,TRBV17,01,01,TRBV17*01,TRBV17*01
NA18508,TRBV18,N_50,N_50,TRBV18*01,TRBV18*01
NA18508,TRBV19,01,01,TRBV19*01,TRBV19*01
NA18508,TRBV20-1,02,02,TRBV20-1*02,TRBV20-1*02
NA18508,TRBV23-1,01,01,TRBV23-1*01,TRBV23-1*01
NA18508,TRBV24-1,01,01,TRBV24-1*01,TRBV24-1*01
NA18508,TRBV25-1,01,01,TRBV25-1*01,TRBV25-1*01
NA18508,TRBV27,01,01,TRBV27*01,TRBV27*01
NA18508,TRBV28,01,01,TRBV28*01,TRBV28*01
NA18508,TRBV29-1,01,01,TRBV29-1*01,TRBV29-1*01
NA18508,TRBD1,01,01,TRBD1*01,TRBD1*01
NA18508,TRBJ1-1,01,01,TRBJ1-1*01,TRBJ1-1*01
NA18508,TRBJ1-2,01,01,TRBJ1-2*01,TRBJ1-2*01
NA18508,TRBJ1-3,01,01,TRBJ1-3*01,TRBJ1-3*01
NA18508,TRBJ1-4,01,01,TRBJ1-4*01,TRBJ1-4*01
NA18508,TRBJ1-5,01,01,TRBJ1-5*01,TRBJ1-5*01
NA18508,TRBJ1-6,02,02,TRBJ1-6*02,TRBJ1-6*02
NA18508,TRBJ2-1,01,01,TRBJ2-1*01,TRBJ2-1*01
NA18508,TRBJ2-2,01,01,TRBJ2-2*01,TRBJ2-2*01
NA18508,TRBV30,02,01,TRBV30*02,TRBV30*01
NA18507,TRAV1-1,01,02,TRAV1-1*02,TRAV1-1*01
NA18507,TRAV1-2,01,01,TRAV1-2*01,TRAV1-2*01
NA18507,TRAV2,01,01,TRAV2*01,TRAV2*01
NA18507,TRAV3,01,01,TRAV3*01,TRAV3*01
NA18507,TRAV4,01,N_146,TRAV4*01,TRAV4*01
NA18507,TRAV5,01,01,TRAV5*01,TRAV5*01
NA18507,TRAV6,02,02,TRAV6*02,TRAV6*02
NA18507,TRAV7,01,01,TRAV7*01,TRAV7*01
NA18507,TRAV8-1,01,01,TRAV8-1*01,TRAV8-1*01
NA18507,TRAV9-1,01,01,TRAV9-1*01,TRAV9-1*01
NA18507,TRAV10,01,01,TRAV10*01,TRAV10*01
NA18507,TRAV12-1,01,01,TRAV12-1*01,TRAV12-1*01
NA18507,TRAV8-2,01,01,TRAV8-2*01,TRAV8-2*01
NA18507,TRAV8-3,02,02,TRAV8-3*02,TRAV8-3*02
NA18507,TRAV13-1,01,02,TRAV13-1*01,TRAV13-1*02
NA18507,TRAV12-2,01,02,TRAV12-2*02,TRAV12-2*01
NA18507,TRAV8-4,01,03,TRAV8-4*03,TRAV8-4*01
NA18507,TRAV13-2,01,N_150,TRAV13-2*01,TRAV13-2*01
NA18507,TRAV9-2,01,02,TRAV9-2*01,TRAV9-2*02
NA18507,TRAV12-3,01,01,TRAV12-3*01,TRAV12-3*01
NA18507,TRAV8-6,02,02,TRAV8-6*02,TRAV8-6*02
NA18507,TRAV16,01,01,TRAV16*01,TRAV16*01
NA18507,TRAV17,01,01,TRAV17*01,TRAV17*01
NA18507,TRAV18,01,N_153,TRAV18*01,TRAV18*01
NA18507,TRAV19,01,01,TRAV19*01,TRAV19*01
NA18507,TRAV20,02,02,TRAV20*02,TRAV20*02
NA18507,TRAV21,01,01,TRAV21*01,TRAV21*01
NA18507,TRAV22,01,01,TRAV22*01,TRAV22*01
NA18507,TRAV24,01,01,TRAV24*01,TRAV24*01
NA18507,TRAV25,01,01,TRAV25*01,TRAV25*01
NA18507,TRAV26-1,01,01,TRAV26-1*01,TRAV26-1*01
NA18507,TRAV8-7,01,02,TRAV8-7*01,TRAV8-7*02
NA18507,TRAV27,N_108,N_108,TRAV27*01,TRAV27*01
NA18507,TRAV30,01,01,TRAV30*01,TRAV30*01
NA18507,TRAV26-2,01,01,TRAV26-2*01,TRAV26-2*01
NA18507,TRAV34,01,N_154,TRAV34*01,TRAV34*01
NA18507,TRAV38-1,01,N_155,TRAV38-1*01,TRAV38-1*01
NA18507,TRAV39,01,01,TRAV39*01,TRAV39*01
NA18507,TRAV40,01,01,TRAV40*01,TRAV40*01
NA18507,TRAV41,01,01,TRAV41*01,TRAV41*01
NA18507,TRDV2,03,03,TRDV2*03,TRDV2*03
NA18507,TRDD1,01,01,TRDD1*01,TRDD1*01
NA18507,TRDD2,01,01,TRDD2*01,TRDD2*01
NA18507,TRDD3,01,01,TRDD3*01,TRDD3*01
NA18507,TRDJ1,01,01,TRDJ1*01,TRDJ1*01
NA18507,TRDJ4,01,M_1,TRDJ4*01,TRDJ4*01
NA18507,TRDJ2,01,01,TRDJ2*01,TRDJ2*01
NA18507,TRDJ3,01,01,TRDJ3*01,TRDJ3*01
NA18507,TRDV3,01,01,TRDV3*01,TRDV3*01
NA18507,TRAJ61,01,01,TRAJ61*01,TRAJ61*01
NA18507,TRAJ59,01,01,TRAJ59*01,TRAJ59*01
NA18507,TRAJ58,01,01,TRAJ58*01,TRAJ58*01
NA18507,TRAJ57,01,01,TRAJ57*01,TRAJ57*01
NA18507,TRAJ56,01,01,TRAJ56*01,TRAJ56*01
NA18507,TRAJ54,01,01,TRAJ54*01,TRAJ54*01
NA18507,TRAJ53,01,01,TRAJ53*01,TRAJ53*01
NA18507,TRAJ52,01,01,TRAJ52*01,TRAJ52*01
NA18507,TRAJ50,01,01,TRAJ50*01,TRAJ50*01
NA18507,TRAJ49,01,01,TRAJ49*01,TRAJ49*01
NA18507,TRAJ48,01,01,TRAJ48*01,TRAJ48*01
NA18507,TRAJ47,01,01,TRAJ47*01,TRAJ47*01
NA18507,TRAJ46,01,01,TRAJ46*01,TRAJ46*01
NA18507,TRAJ45,01,01,TRAJ45*01,TRAJ45*01
NA18507,TRAJ44,01,01,TRAJ44*01,TRAJ44*01
NA18507,TRAJ43,01,01,TRAJ43*01,TRAJ43*01
NA18507,TRAJ42,01,01,TRAJ42*01,TRAJ42*01
NA18507,TRAJ41,01,01,TRAJ41*01,TRAJ41*01
NA18507,TRAJ40,01,01,TRAJ40*01,TRAJ40*01
NA18507,TRAJ39,01,01,TRAJ39*01,TRAJ39*01
NA18507,TRAJ38,01,01,TRAJ38*01,TRAJ38*01
NA18507,TRAJ37,01,02,TRAJ37*02,TRAJ37*01
NA18507,TRAJ36,01,01,TRAJ36*01,TRAJ36*01
NA18507,TRAJ35,01,01,TRAJ35*01,TRAJ35*01
NA18507,TRAJ34,01,01,TRAJ34*01,TRAJ34*01
NA18507,TRAJ33,01,01,TRAJ33*01,TRAJ33*01
NA18507,TRAJ32,02,02,TRAJ32*02,TRAJ32*02
