Gene,Gene_Group,Gene_Group2,Hete,Homo,Hete_freq
IGLV1-44,IGL,IG,41,685,0.05647382920110193
IGLV7-43,IGL,IG,0,700,0.0
IGLV1-41,IGL,IG,244,458,0.3475783475783476
IGLV1-40,IGL,IG,0,707,0.0
IGLV5-37,IGL,IG,147,545,0.21242774566473988
IGLV1-36,IGL,IG,0,680,0.0
IGLV2-34,IGL,IG,205,492,0.29411764705882354
IGLV2-33,IGL,IG,0,695,0.0
IGLV3-32,IGL,IG,0,682,0.0
IGLV3-31,IGL,IG,0,691,0.0
IGLV3-27,IGL,IG,0,676,0.0
IGLV3-25,IGL,IG,25,604,0.0397456279809221
IGLV2-23,IGL,IG,253,362,0.4113821138211382
IGLV3-22,IGL,IG,74,376,0.16444444444444445
IGLV3-21,IGL,IG,301,298,0.5025041736227045
IGLV3-19,IGL,IG,22,556,0.03806228373702422
IGLV2-18,IGL,IG,147,491,0.2304075235109718
IGLV3-16,IGL,IG,0,587,0.0
IGLV2-14,IGL,IG,318,274,0.5371621621621622
IGLV3-13,IGL,IG,186,380,0.3286219081272085
IGLV3-12,IGL,IG,206,383,0.34974533106960953
IGLV2-11,IGL,IG,0,573,0.0
IGLV3-10,IGL,IG,24,498,0.04597701149425287
IGLV3-9,IGL,IG,0,525,0.0
IGLV2-8,IGL,IG,3,544,0.005484460694698354
IGLV2-5,IGL,IG,144,385,0.2722117202268431
IGLV4-3,IGL,IG,0,536,0.0
IGLV3-1,IGL,IG,1,452,0.002207505518763797
IGLJ1,IGL,IG,0,484,0.0
IGLJ2,IGL,IG,0,387,0.0
IGLJ3,IGL,IG,98,646,0.13172043010752688
IGLJ4,IGL,IG,0,764,0.0
IGLJ5,IGL,IG,73,672,0.09798657718120805
IGLJ6,IGL,IG,0,784,0.0
IGLJ7,IGL,IG,66,731,0.08281053952321205
TRGJ2,TRG,TR,0,781,0.0
TRGJP2,TRG,TR,0,684,0.0
TRGJ1,TRG,TR,362,449,0.44636251541307026
TRGJP,TRG,TR,0,747,0.0
TRGJP1,TRG,TR,0,808,0.0
TRGV11,TRG,TR,0,821,0.0
TRGV10,TRG,TR,1,813,0.0012285012285012285
TRGV9,TRG,TR,43,776,0.052503052503052504
TRGVA,TRG,TR,0,660,0.0
TRGV8,TRG,TR,0,815,0.0
TRGV5P,TRG,TR,0,778,0.0
TRGV5,TRG,TR,0,608,0.0
TRGV4,TRG,TR,141,364,0.27920792079207923
TRGV3,TRG,TR,52,663,0.07272727272727272
TRGV2,TRG,TR,393,385,0.5051413881748072
TRGV1,TRG,TR,0,786,0.0
TRBV1,TRB,TR,0,805,0.0
TRBV2,TRB,TR,33,794,0.03990326481257558
TRBV3-1,TRB,TR,0,844,0.0
TRBV4-1,TRB,TR,0,827,0.0
TRBV5-1,TRB,TR,0,820,0.0
TRBV6-1,TRB,TR,0,792,0.0
TRBV7-1,TRB,TR,0,794,0.0
TRBV4-2,TRB,TR,0,612,0.0
TRBV6-2,TRB,TR,0,912,0.0
TRBV7-2,TRB,TR,285,528,0.3505535055350554
TRBV6-4,TRB,TR,134,667,0.16729088639200998
TRBV7-3,TRB,TR,228,534,0.2992125984251969
TRBV5-3,TRB,TR,130,671,0.16229712858926343
TRBV9,TRB,TR,170,627,0.21329987452948557
TRBV10-1,TRB,TR,316,484,0.395
TRBV11-1,TRB,TR,0,680,0.0
TRBV12-1,TRB,TR,0,811,0.0
TRBV10-2,TRB,TR,125,695,0.1524390243902439
TRBV11-2,TRB,TR,279,523,0.3478802992518703
TRBV12-2,TRB,TR,0,803,0.0
TRBV6-5,TRB,TR,0,816,0.0
TRBV7-4,TRB,TR,0,843,0.0
TRBV5-4,TRB,TR,0,851,0.0
TRBV6-6,TRB,TR,335,465,0.41875
TRBV5-5,TRB,TR,338,473,0.41676942046855736
TRBV6-7,TRB,TR,0,815,0.0
TRBV7-6,TRB,TR,1,823,0.0012135922330097086
TRBV5-6,TRB,TR,0,843,0.0
TRBV6-8,TRB,TR,0,706,0.0
TRBV7-7,TRB,TR,6,490,0.012096774193548387
TRBV7-9,TRB,TR,258,504,0.33858267716535434
TRBV13,TRB,TR,0,789,0.0
TRBV10-3,TRB,TR,388,409,0.4868255959849435
TRBV11-3,TRB,TR,146,638,0.18622448979591838
TRBV12-3,TRB,TR,0,789,0.0
TRBV12-4,TRB,TR,0,778,0.0
TRBV12-5,TRB,TR,0,796,0.0
TRBV14,TRB,TR,145,661,0.17990074441687345
TRBV15,TRB,TR,76,732,0.09405940594059406
TRBV16,TRB,TR,124,669,0.15636822194199243
TRBV17,TRB,TR,250,562,0.3078817733990148
TRBV18,TRB,TR,0,802,0.0
TRBV19,TRB,TR,32,772,0.03980099502487562
TRBV20-1,TRB,TR,306,501,0.379182156133829
TRBV21-1,TRB,TR,228,562,0.28860759493670884
TRBV23-1,TRB,TR,0,781,0.0
TRBV24-1,TRB,TR,202,581,0.25798212005108556
TRBV25-1,TRB,TR,0,795,0.0
TRBV26,TRB,TR,0,800,0.0
TRBV27,TRB,TR,0,782,0.0
TRBV28,TRB,TR,0,798,0.0
TRBV29-1,TRB,TR,0,793,0.0
TRBD1,TRB,TR,0,781,0.0
TRBJ1-1,TRB,TR,0,767,0.0
TRBJ1-2,TRB,TR,0,765,0.0
TRBJ1-3,TRB,TR,0,771,0.0
TRBJ1-4,TRB,TR,0,769,0.0
TRBJ1-5,TRB,TR,0,771,0.0
TRBJ1-6,TRB,TR,251,506,0.33157199471598414
TRBJ2-1,TRB,TR,0,723,0.0
TRBJ2-2,TRB,TR,0,733,0.0
TRBJ2-2P,TRB,TR,0,754,0.0
TRBJ2-3,TRB,TR,0,766,0.0
TRBJ2-4,TRB,TR,0,712,0.0
TRBJ2-5,TRB,TR,0,775,0.0
TRBJ2-6,TRB,TR,0,752,0.0
TRBJ2-7,TRB,TR,99,684,0.12643678160919541
TRBV30,TRB,TR,380,430,0.4691358024691358
TRAJ2,TRA,TR,0,692,0.0
IGHV1-18,IGH,IG,46,324,0.12432432432432433
IGHV3-20,IGH,IG,123,225,0.35344827586206895
IGHV3-22,IGH,IG,0,425,0.0
IGHV1-69,IGH,IG,289,174,0.6241900647948164
IGHV2-70D,IGH,IG,12,212,0.05357142857142857
IGHV4-31,IGH,IG,88,90,0.4943820224719101
IGHV1-69-2,IGH,IG,0,205,0.0
IGKV7-3,IGK,IG,0,132,0.0
IGKV2-4,IGK,IG,25,105,0.19230769230769232
IGKV1-6,IGK,IG,1,165,0.006024096385542169
IGKV3-7,IGK,IG,37,142,0.20670391061452514
IGKV1-8,IGK,IG,60,140,0.3
IGKV1D-13,IGK,IG,85,307,0.21683673469387754
IGKV1D-12,IGK,IG,47,283,0.14242424242424243
IGHV3-15,IGH,IG,5,320,0.015384615384615385
IGHV3-69-1,IGH,IG,16,209,0.07111111111111111
IGHV4-4,IGH,IG,38,130,0.2261904761904762
IGHV3-21,IGH,IG,8,381,0.02056555269922879
IGKV5-2,IGK,IG,14,84,0.14285714285714285
IGKV3-15,IGK,IG,19,295,0.06050955414012739
IGHJ5,IGH,IG,0,91,0.0
IGHJ4,IGH,IG,0,39,0.0
IGHV7-4-1,IGH,IG,10,106,0.08620689655172414
IGHV3-64D,IGH,IG,0,58,0.0
IGHD1-14,IGH,IG,0,24,0.0
IGHV6-1,IGH,IG,4,155,0.025157232704402517
IGKJ2,IGK,IG,12,72,0.14285714285714285
IGKJ1,IGK,IG,0,64,0.0
IGHD6-19,IGH,IG,0,10,0.0
IGHD4-17,IGH,IG,0,13,0.0
IGHD3-16,IGH,IG,2,10,0.16666666666666666
IGHD2-15,IGH,IG,0,18,0.0
IGHD6-13,IGH,IG,0,21,0.0
IGHD5-12,IGH,IG,0,27,0.0
IGHD4-11,IGH,IG,0,31,0.0
IGHD3-10,IGH,IG,3,28,0.0967741935483871
IGHD3-9,IGH,IG,0,37,0.0
IGHD2-8,IGH,IG,0,21,0.0
IGHD1-7,IGH,IG,0,28,0.0
IGHD6-6,IGH,IG,0,32,0.0
IGHD5-5,IGH,IG,0,33,0.0
IGHD4-4,IGH,IG,0,37,0.0
IGHD3-3,IGH,IG,0,32,0.0
IGHV3-32,IGH,IG,3,18,0.14285714285714285
IGHD1-20,IGH,IG,0,10,0.0
TRBV5-7,TRB,TR,0,52,0.0
IGHD4-23,IGH,IG,0,5,0.0
IGHD3-22,IGH,IG,0,8,0.0
IGHD2-21,IGH,IG,0,8,0.0
IGHD5-18,IGH,IG,0,10,0.0
IGHD5-24,IGH,IG,0,5,0.0
IGHD7-27,IGH,IG,0,4,0.0
IGHD1-26,IGH,IG,0,2,0.0
IGHD6-25,IGH,IG,0,4,0.0
IGHJ3,IGH,IG,0,5,0.0
IGHJ1,IGH,IG,0,4,0.0
IGHJ2,IGH,IG,0,3,0.0
IGHV3-29,IGH,IG,0,1,0.0
