Gene,t,p_value,mean_hete1,mean_hete2,count1,count2,total,fold_change,p.adj
IGKV2D-29,6.543507721604406,1.1739419989174828e-10,1.5345911949685536,0.8192090395480226,159,531,690,1.873259596616786,4.719246835648281e-08
IGHV1-69D,6.69565160658935,1.2474691928130194e-10,2.489795918367347,1.1618497109826589,98,173,271,2.1429586760077166,5.014826155108338e-08
TRGV5P,-6.500053203766676,1.435879672082333e-10,0.5144230769230769,0.9438596491228071,208,570,778,0.545020732056048,5.772236281770979e-08
TRAV17,6.475752124083121,1.6179366707716067e-10,0.5971563981042654,0.3225283630470016,211,617,828,1.8514849127152349,6.504105416501859e-08
IGHV3-74,6.448110058422232,1.9181483514168478e-10,0.7511520737327189,0.24959481361426256,217,617,834,3.00948590579927,7.710956372695729e-08
TRBJ2-7,6.437661347358664,2.117006295668337e-10,0.28078817733990147,0.09827586206896552,203,580,783,2.8571428571428568,8.510365308586715e-08
TRAV38-1,6.297504505057029,4.832660885168601e-10,2.0,1.2818035426731078,236,621,857,1.5603015075376885,1.9427296758377775e-07
IGHV5-51,6.034731846186642,2.5506851858597434e-09,1.6756756756756757,1.0691588785046728,185,535,720,1.5672840672840673,1.0253754447156169e-06
TRBV5-6,5.841945597124251,7.371554180735034e-09,1.117117117117117,0.6280193236714976,222,621,843,1.7787941787941786,2.9633647806554837e-06
IGLV2-8,5.776048128618345,1.2863346410798868e-08,1.3178807947019868,0.601010101010101,151,396,547,2.1927764483276757,5.171065257141145e-06
TRAV9-1,5.722299605917318,1.4622598772341496e-08,1.48868778280543,1.0403225806451613,221,620,841,1.4309867059525063,5.878284706481282e-06
IGLV3-21,5.743198622947407,1.4805857211370026e-08,5.541666666666667,3.1714285714285713,144,455,599,1.7473723723723726,5.95195459897075e-06
TRBV7-3,5.668612589708014,2.0445313571912572e-08,3.0693069306930694,2.1339285714285716,202,560,762,1.4383363022494717,8.219016055908854e-06
IGLV3-16,5.598589112593835,3.3260265838203115e-08,1.261744966442953,0.7534246575342466,149,438,587,1.6746796827333739,1.3370626866957652e-05
IGHV3-49,-5.5696752679203065,3.6248225866220166e-08,0.6411764705882353,1.0683918669131238,170,541,711,0.6001323020557705,1.4571786798220507e-05
TRBV13,5.560363931714983,3.688700128859417e-08,0.8300970873786407,0.4974271012006861,206,583,789,1.668781386006026,1.4828574518014857e-05
IGKV3D-11,5.508918163494556,5.031590549164989e-08,1.5549132947976878,0.9781021897810219,173,548,721,1.5897247864722628,2.0226994007643254e-05
TRBV9,5.460567392132445,6.348944265616714e-08,0.8790697674418605,0.4879725085910653,215,582,797,1.8014739600393057,2.552275594777919e-05
TRBV12-4,-5.456052318780105,6.5516726990082e-08,1.0,1.4818024263431542,201,577,778,0.6748538011695907,2.6337724250012965e-05
IGKV3D-20,5.45275766062971,6.832885214724868e-08,0.8983050847457628,0.4953789279112754,177,541,718,1.8133695927143942,2.746819856319397e-05
IGLV3-27,-5.406811823200203,8.915496581450402e-08,0.4972375690607735,0.8747474747474747,181,495,676,0.5684355581641637,3.584029625743062e-05
TRAV5,5.380882250462449,9.645653441085012e-08,0.12844036697247707,0.027642276422764227,218,615,833,4.646519158121965,3.8775526833161745e-05
IGHV3-53,5.38829010813052,9.788212193426918e-08,3.6776315789473686,2.6343283582089554,152,536,688,1.3960414492321456,3.934861301757621e-05
IGHV2-26,5.33863768506915,1.4268728342571278e-07,1.3247863247863247,0.5497382198952879,117,382,499,2.40984940984941,5.7360287937136536e-05
IGKV2D-26,5.3151185396833505,1.4316668261028683e-07,1.2613636363636365,0.8041431261770244,176,531,707,1.5685810091547798,5.7553006409335305e-05
TRBV5-1,5.307380048978437,1.4333730385680233e-07,1.0186046511627906,0.6628099173553719,215,605,820,1.536797541031143,5.7621596150434535e-05
IGKV1-12,-5.322913487693207,1.4369276744955198e-07,1.328,1.7905544147843941,125,487,612,0.7416697247706423,5.7764492514719896e-05
IGLV7-46,5.299565257381042,1.5442528476485374e-07,1.0876288659793814,0.7466918714555766,194,529,723,1.4565966331723865,6.20789644754712e-05
IGKV2-29,5.260176227094261,2.0185457735833388e-07,1.7756410256410255,1.140552995391705,156,434,590,1.5568246568246566,8.114554009805022e-05
TRBV5-3,5.12595489835107,3.7159650897933225e-07,1.6411483253588517,1.2668918918918919,209,592,801,1.2954130781499202,0.00014938179660969157
TRAV20,5.049108051921844,5.47169197907814e-07,0.391705069124424,0.19504132231404958,217,605,822,2.008318362883699,0.00021996201755894123
IGHV3-41,-5.050245602141627,5.909592747450401e-07,0.7808219178082192,1.8496583143507972,146,439,585,0.4221438693569067,0.00023756562844750613
TRBV12-3,4.940252639782923,9.533621794327273e-07,1.0682926829268293,0.690068493150685,205,584,789,1.5480965926284573,0.0003832515961319564
TRDV3,4.932769408259563,9.782154253063766e-07,0.7763157894736842,0.4721311475409836,228,610,838,1.6442799707602338,0.0003932426009731634
IGKV7-3,5.078051174172714,1.2921211857743964e-06,0.6428571428571429,0.07777777777777778,42,90,132,8.26530612244898,0.0005194327166813074
IGHV3-21,4.806502371559212,2.2018573453651443e-06,0.5656565656565656,0.21379310344827587,99,290,389,2.645812968393613,0.000885146652836788
TRAV1-1,4.74693734459261,2.435583397751887e-06,1.3772727272727272,1.0198675496688743,220,604,824,1.3504427390791025,0.0009791045258962586
TRBV2,4.740410444750277,2.5117366281030398e-06,0.4046511627906977,0.18627450980392157,215,612,827,2.17233782129743,0.001009718124497422
IGKV1D-37,4.669172386916336,3.53750233121563e-06,0.3333333333333333,0.1588628762541806,216,598,814,2.0982456140350876,0.0014220759371486834
IGHV1-58,4.643167281824672,4.055773743214025e-06,1.4974093264248705,1.0940325497287522,193,553,746,1.3687063760544684,0.0016304210447720382
TRAV35,4.4912092912566095,8.054918100522185e-06,0.7511111111111111,0.4595879556259905,225,631,856,1.6343141762452107,0.003238077076409918
IGLV7-43,4.438537163895409,1.0524178861405189e-05,0.1774193548387097,0.06420233463035019,186,514,700,2.763440860215054,0.004230719902284886
IGHV3-30-2,4.442155799435616,1.0567413980359623e-05,3.2413793103448274,2.529058116232465,116,499,615,1.2816547352314334,0.004248100420104569
TRGV5,4.433864237353507,1.0990214938492287e-05,2.04320987654321,1.1771300448430493,162,446,608,1.7357554379776605,0.0044180664052738995
TRBV7-6,4.400632738212706,1.2215162231480392e-05,1.1830357142857142,0.8533333333333334,224,600,824,1.3863699776785712,0.004910495217055118
IGHV3-16,4.321667574879973,2.032895495450363e-05,0.9777777777777777,0.5196850393700787,90,254,344,1.8814814814814815,0.008172239891710458
