Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02558,NA18971,61.0,90.0,11.0,69.0,322.0,447.0,181.0,288.0,73.0,9.0
HG02558,HG01597,59.0,79.0,12.0,69.0,33.0,105.0,312.0,6.0,0.0,45.0
HG02558,HG00634,135.0,111.0,12.0,56.0,333.0,401.0,182.0,296.0,80.0,3156.0
HG02558,HG00844,59.0,68.0,66.0,69.0,37.0,192.0,311.0,7.0,158.0,9.0
HG02558,NA18980,8.0,79.0,72.0,51.0,23.0,191.0,311.0,5.0,158.0,19.0
HG02558,HG00596,134.0,67.0,40.0,51.0,10.0,190.0,5.0,1.0,73.0,9.0
HG02558,HG00607,3.0,64.0,72.0,52.0,14.0,190.0,506.0,396.0,94.0,10.0
HG02558,NA20801,62.0,75.0,4.0,70.0,26.0,439.0,18.0,287.0,91.0,11.0
HG02558,HG01776,62.0,84.0,71.0,3.0,313.0,95.0,19.0,293.0,218.0,10.0
HG02558,HG00325,42.0,29.0,40.0,55.0,28.0,14.0,307.0,287.0,170.0,12.0
HG02558,HG02223,151.0,79.0,12.0,56.0,25.0,163.0,9.0,1.0,141.0,20.0
HG02558,HG00313,138.0,30.0,13.0,55.0,27.0,151.0,176.0,287.0,144.0,22.0
HG02558,HG01506,39.0,1.0,72.0,56.0,27.0,431.0,317.0,309.0,0.0,10.0
HG02558,HG00148,62.0,78.0,70.0,57.0,26.0,150.0,163.0,3.0,140.0,24.0
HG02558,HG02239,9.0,0.0,4.0,5.0,47.0,21.0,1.0,2.0,141.0,21.0
HG02558,HG00338,44.0,29.0,40.0,50.0,16.0,181.0,515.0,287.0,141.0,11.0
HG02558,HG00255,40.0,74.0,11.0,56.0,26.0,8.0,23.0,8.0,103.0,18.0
HG02558,HG03882,61.0,9.0,64.0,51.0,14.0,190.0,321.0,6.0,0.0,20.0
HG02558,HG04039,41.0,8.0,66.0,5.0,31.0,432.0,323.0,6.0,158.0,8811.0
HG02558,HG03904,42.0,88.0,58.0,51.0,18.0,190.0,22.0,259.0,102.0,7098.0
HG02558,NA21099,110.0,1.0,13.0,6.0,323.0,434.0,178.0,299.0,157.0,24.0
HG02558,HG03941,134.0,29.0,39.0,6.0,50.0,180.0,509.0,298.0,0.0,10.0
HG02558,HG03977,155.0,41.0,40.0,51.0,23.0,190.0,176.0,287.0,141.0,10.0
HG02558,NA21111,3.0,81.0,11.0,5.0,26.0,184.0,92.0,14.0,0.0,17.0
HG02558,NA21110,45.0,7.0,40.0,51.0,15.0,191.0,11.0,3.0,0.0,27.0
HG02558,HG03009,120.0,88.0,12.0,4.0,35.0,53.0,323.0,6.0,0.0,2788.0
HG02558,NA20899,40.0,88.0,59.0,52.0,15.0,182.0,22.0,300.0,102.0,21.0
HG02307,HG03115,95.0,2.0,158.0,16.0,327.0,37.0,6.0,0.0,0.0,38.0
HG02307,HG02308,10.0,92.0,65.0,120.0,33.0,42.0,299.0,538.0,155.0,12.0
HG02307,HG02943,0.0,3.0,0.0,0.0,1.0,34.0,653.0,509.0,271.0,34.0
HG02307,NA20348,0.0,62.0,149.0,0.0,1.0,27.0,661.0,322.0,143.0,39.0
HG02307,HG02283,95.0,9.0,0.0,17.0,326.0,35.0,86.0,324.0,186.0,64.0
HG02307,HG02643,46.0,99.0,65.0,361.0,326.0,4.0,659.0,501.0,43.0,34.0
HG02307,HG02485,0.0,29.0,64.0,17.0,326.0,34.0,302.0,538.0,163.0,11.0
HG02307,HG03476,46.0,99.0,68.0,0.0,1.0,4.0,684.0,507.0,0.0,55.0
HG02307,HG02275,98.0,85.0,41.0,34.0,28.0,13.0,652.0,496.0,425.0,36.0
HG02307,HG01366,8.0,97.0,68.0,34.0,34.0,38.0,663.0,322.0,408.0,65.0
HG02307,HG01073,95.0,103.0,68.0,15.0,36.0,11.0,735.0,322.0,408.0,65.0
HG02307,HG01187,50.0,108.0,61.0,17.0,32.0,569.0,6.0,0.0,428.0,39.0
HG02307,HG01136,49.0,1.0,0.0,16.0,28.0,35.0,1.0,1.0,192.0,66.0
HG02307,HG01058,95.0,96.0,62.0,16.0,86.0,12.0,6.0,0.0,170.0,2.0
HG02307,HG02274,143.0,79.0,41.0,34.0,27.0,41.0,88.0,1.0,164.0,4064.0
HG02307,HG02292,142.0,5.0,1.0,15.0,32.0,536.0,776.0,499.0,44.0,33.0
HG02307,HG01341,141.0,29.0,64.0,17.0,28.0,41.0,87.0,320.0,42.0,4094.0
HG02307,NA19774,50.0,31.0,42.0,15.0,35.0,13.0,648.0,499.0,278.0,40.0
HG02307,HG00583,31.0,62.0,41.0,10.0,16.0,564.0,10.0,0.0,44.0,52.0
HG02307,HG02178,49.0,30.0,42.0,361.0,328.0,30.0,647.0,495.0,426.0,64.0
HG02307,HG02017,32.0,96.0,59.0,365.0,324.0,481.0,666.0,500.0,1554.0,65.0
HG02307,NA18971,98.0,102.0,62.0,364.0,323.0,30.0,662.0,495.0,189.0,65.0
HG02307,HG01597,68.0,102.0,160.0,364.0,34.0,107.0,307.0,5.0,0.0,34.0
HG02307,HG00634,49.0,102.0,160.0,17.0,334.0,138.0,668.0,496.0,320.0,39.0
HG02307,HG00844,144.0,62.0,59.0,364.0,38.0,31.0,306.0,6.0,69.0,38.0
HG02307,NA18980,50.0,80.0,62.0,10.0,24.0,33.0,306.0,4.0,239.0,39.0
HG02307,HG00596,49.0,84.0,1.0,10.0,11.0,35.0,10.0,0.0,154.0,4055.0
HG02307,HG00607,147.0,57.0,62.0,11.0,15.0,566.0,662.0,504.0,766.0,65.0
HG02307,NA20801,142.0,61.0,61.0,33.0,27.0,36.0,651.0,322.0,408.0,65.0
HG02307,HG01776,49.0,103.0,64.0,359.0,333.0,527.0,665.0,496.0,520.0,4067.0
HG02307,HG00325,29.0,1.0,1.0,16.0,29.0,81.0,302.0,538.0,318.0,39.0
HG02307,HG02223,98.0,122.0,61.0,17.0,26.0,480.0,14.0,0.0,145.0,55.0
HG02307,HG00313,31.0,2.0,1.0,16.0,28.0,37.0,651.0,501.0,58.0,40.0
HG02307,HG01506,142.0,30.0,65.0,17.0,28.0,38.0,298.0,509.0,0.0,66.0
HG02307,HG00148,49.0,108.0,61.0,18.0,27.0,484.0,659.0,1.0,199.0,34.0
HG02307,HG02239,49.0,99.0,61.0,15.0,48.0,23.0,6.0,1.0,52.0,52.0
HG02307,HG00338,31.0,1.0,1.0,11.0,17.0,38.0,652.0,507.0,184.0,4065.0
HG02307,HG00255,142.0,102.0,68.0,17.0,27.0,41.0,303.0,324.0,318.0,59.0
HG02307,HG03882,99.0,27.0,57.0,10.0,15.0,565.0,302.0,5.0,0.0,15.0
HG02307,HG04039,49.0,29.0,57.0,15.0,32.0,36.0,304.0,5.0,371.0,37.0
HG02307,HG03904,50.0,96.0,61.0,10.0,19.0,42.0,650.0,569.0,408.0,42.0
HG02307,NA21099,50.0,30.0,66.0,362.0,324.0,33.0,670.0,499.0,41.0,4026.0
HG02307,HG03941,49.0,1.0,2.0,17.0,47.0,31.0,662.0,504.0,0.0,23.0
HG02307,HG03977,98.0,14.0,1.0,10.0,24.0,562.0,651.0,499.0,43.0,64.0
HG02307,NA21111,137.0,77.0,16.0,33.0,27.0,41.0,87.0,320.0,0.0,65.0
HG02307,NA21110,98.0,3.0,1.0,10.0,16.0,150.0,8.0,2.0,0.0,20.0
HG02307,HG03009,99.0,96.0,61.0,18.0,36.0,475.0,304.0,5.0,0.0,38.0
HG02307,NA20899,50.0,96.0,62.0,11.0,16.0,42.0,744.0,322.0,41.0,51.0
HG03115,HG02308,1.0,68.0,156.0,4.0,305.0,6.0,305.0,360.0,0.0,4.0
HG03115,HG02943,49.0,3.0,1.0,1.0,1.0,15.0,534.0,398.0,0.0,5.0
HG03115,NA20348,37.0,60.0,17.0,16.0,326.0,22.0,56.0,106.0,0.0,41.0
HG03115,HG02283,0.0,14.0,5.0,1.0,3.0,6.0,82.0,121.0,0.0,38.0
HG03115,HG02643,42.0,88.0,4.0,71.0,5.0,3.0,141.0,361.0,29.0,4.0
HG03115,HG02485,37.0,27.0,157.0,5.0,5.0,13.0,296.0,361.0,0.0,28.0
HG03115,HG03476,75.0,89.0,3.0,0.0,0.0,15.0,545.0,408.0,0.0,7.0
HG03115,HG02275,5.0,83.0,12.0,5.0,305.0,28.0,145.0,361.0,0.0,36.0
HG03115,HG01366,22.0,6.0,5.0,2.0,5.0,10.0,56.0,119.0,0.0,14.0
HG03115,HG01073,0.0,92.0,156.0,1.0,55.0,26.0,56.0,0.0,0.0,42.0
HG03115,HG01187,76.0,45.0,148.0,5.0,127.0,561.0,10.0,0.0,0.0,40.0
HG03115,HG01136,14.0,4.0,158.0,0.0,1.0,15.0,7.0,1.0,0.0,39.0
HG03115,HG01058,0.0,94.0,149.0,0.0,34.0,27.0,0.0,0.0,0.0,6.0
HG03115,HG02274,76.0,77.0,153.0,24.0,24.0,16.0,84.0,2.0,0.0,41.0
HG03115,HG02292,76.0,8.0,153.0,3.0,24.0,521.0,140.0,499.0,25.0,6.0
HG03115,HG01341,52.0,27.0,3.0,5.0,305.0,16.0,83.0,320.0,0.0,40.0
HG03115,NA19774,77.0,29.0,154.0,3.0,324.0,8.0,140.0,361.0,0.0,11.0
HG03115,HG00583,5.0,62.0,153.0,10.0,318.0,565.0,14.0,0.0,0.0,11.0
HG03115,HG02178,101.0,30.0,11.0,2.0,51.0,102.0,161.0,360.0,0.0,37.0
HG03115,HG02017,96.0,3.0,148.0,67.0,54.0,486.0,140.0,372.0,0.0,40.0
HG03115,NA18971,5.0,100.0,10.0,66.0,55.0,24.0,145.0,362.0,9.0,39.0
HG03115,HG01597,78.0,105.0,11.0,66.0,127.0,124.0,301.0,5.0,0.0,7.0
HG03115,HG00634,6.0,100.0,11.0,5.0,30.0,153.0,146.0,396.0,0.0,39.0
HG03115,HG00844,78.0,62.0,150.0,66.0,54.0,31.0,300.0,6.0,0.0,38.0
HG03115,NA18980,36.0,78.0,165.0,10.0,53.0,29.0,300.0,4.0,0.0,40.0
HG03115,HG00596,5.0,82.0,159.0,10.0,54.0,22.0,14.0,0.0,0.0,39.0
HG03115,HG00607,37.0,55.0,164.0,11.0,321.0,565.0,533.0,396.0,0.0,38.0
HG03115,NA20801,75.0,59.0,3.0,23.0,54.0,16.0,62.0,116.0,0.0,42.0
HG03115,HG01776,75.0,101.0,157.0,2.0,30.0,516.0,59.0,372.0,0.0,40.0
HG03115,HG00325,68.0,4.0,159.0,4.0,31.0,465.0,296.0,361.0,0.0,37.0
HG03115,HG02223,5.0,106.0,11.0,5.0,321.0,463.0,18.0,0.0,0.0,12.0
HG03115,HG00313,96.0,5.0,12.0,4.0,32.0,23.0,140.0,361.0,0.0,15.0
HG03115,HG01506,21.0,30.0,157.0,5.0,305.0,9.0,306.0,398.0,0.0,38.0
HG03115,HG00148,75.0,99.0,160.0,6.0,31.0,466.0,157.0,2.0,0.0,5.0
HG03115,HG02239,37.0,88.0,3.0,3.0,60.0,8.0,10.0,1.0,0.0,9.0
HG03115,HG00338,69.0,4.0,159.0,11.0,321.0,24.0,542.0,361.0,0.0,37.0
HG03115,HG00255,22.0,93.0,10.0,5.0,304.0,16.0,57.0,391.0,0.0,39.0
HG03115,HG03882,6.0,27.0,152.0,10.0,321.0,565.0,310.0,5.0,0.0,3.0
HG03115,HG04039,67.0,29.0,148.0,3.0,24.0,10.0,312.0,5.0,0.0,37.0
HG03115,HG03904,68.0,3.0,148.0,10.0,303.0,18.0,56.0,361.0,0.0,41.0
HG03115,NA21099,101.0,30.0,12.0,5.0,54.0,6.0,142.0,396.0,0.0,7.0
HG03115,HG03941,100.0,4.0,158.0,5.0,12.0,11.0,533.0,372.0,0.0,9.0
HG03115,HG03977,5.0,17.0,157.0,10.0,312.0,565.0,140.0,361.0,0.0,38.0
HG03115,NA21111,52.0,75.0,10.0,4.0,28.0,18.0,83.0,118.0,0.0,41.0
HG03115,NA21110,5.0,8.0,149.0,5.0,322.0,126.0,2.0,2.0,0.0,4.0
HG03115,HG03009,8.0,3.0,11.0,3.0,25.0,466.0,312.0,5.0,0.0,38.0
HG03115,NA20899,22.0,3.0,149.0,11.0,304.0,17.0,56.0,106.0,44.0,10.0
HG02308,HG02943,10.0,55.0,65.0,5.0,32.0,13.0,53.0,393.0,389.0,6.0
HG02308,NA20348,10.0,94.0,155.0,120.0,32.0,26.0,53.0,360.0,53.0,47.0
HG02308,HG02283,1.0,82.0,65.0,113.0,304.0,6.0,57.0,23.0,106.0,65.0
HG02308,HG02643,43.0,58.0,35.0,75.0,304.0,5.0,59.0,3.0,171.0,0.0
HG02308,HG02485,10.0,83.0,37.0,75.0,304.0,15.0,7.0,0.0,0.0,17.0
HG02308,HG03476,50.0,59.0,0.0,4.0,32.0,17.0,108.0,393.0,0.0,45.0
HG02308,HG02275,76.0,31.0,56.0,7.0,9.0,176.0,16.0,3.0,89.0,40.0
HG02308,HG01366,4.0,11.0,0.0,2.0,21.0,12.0,53.0,360.0,404.0,17.0
HG02308,HG01073,22.0,6.0,0.0,3.0,45.0,9438.0,502.0,286.0,153.0,61.0
HG02308,HG01187,59.0,7.0,33.0,62.0,41.0,126.0,315.0,164.0,257.0,44.0
HG02308,HG01136,15.0,86.0,65.0,112.0,9.0,18.0,59.0,390.0,109.0,71.0
HG02308,HG01058,98.0,67.0,34.0,112.0,87.0,181.0,305.0,70.0,86.0,4.0
HG02308,HG02274,77.0,31.0,56.0,132.0,8.0,18.0,265.0,72.0,23.0,42.0
HG02308,HG02292,77.0,51.0,56.0,5.0,41.0,70.0,529.0,70.0,248.0,14.0
HG02308,HG01341,51.0,59.0,37.0,113.0,9.0,18.0,264.0,26.0,14.0,42.0
HG02308,NA19774,59.0,57.0,6.0,111.0,44.0,12.0,18.0,3.0,172.0,41.0
HG02308,HG00583,40.0,82.0,5.0,71.0,21.0,124.0,319.0,71.0,70.0,42.0
HG02308,HG02178,58.0,38.0,57.0,4.0,308.0,104.0,30.0,4.0,230.0,63.0
HG02308,HG02017,41.0,65.0,25.0,71.0,304.0,199.0,56.0,28.0,1554.0,67.0
HG02308,NA18971,79.0,49.0,5.0,70.0,303.0,26.0,67.0,71.0,127.0,66.0
HG02308,HG01597,77.0,82.0,159.0,70.0,51.0,126.0,29.0,539.0,0.0,41.0
HG02308,HG00634,58.0,110.0,159.0,113.0,312.0,432.0,75.0,72.0,263.0,45.0
HG02308,HG00844,78.0,89.0,5.0,70.0,47.0,33.0,32.0,28.0,195.0,41.0
HG02308,NA18980,37.0,82.0,1.0,114.0,13.0,31.0,32.0,423.0,350.0,42.0
HG02308,HG00596,58.0,35.0,4.0,70.0,24.0,24.0,319.0,71.0,37.0,42.0
HG02308,HG00607,38.0,55.0,4.0,71.0,20.0,124.0,54.0,394.0,447.0,67.0
HG02308,NA20801,76.0,8.0,37.0,71.0,8.0,18.0,7.0,3.0,9.0,68.0
HG02308,HG01776,58.0,52.0,34.0,4.0,309.0,37.0,59.0,28.0,205.0,43.0
HG02308,HG00325,38.0,83.0,4.0,112.0,10.0,180.0,7.0,2.0,9.0,42.0
HG02308,HG02223,101.0,82.0,6.0,113.0,41.0,123.0,64.0,394.0,53.0,45.0
HG02308,HG00313,40.0,95.0,64.0,112.0,9.0,25.0,7.0,3.0,9.0,18.0
HG02308,HG01506,22.0,88.0,1.0,113.0,9.0,13.0,7.0,2.0,0.0,67.0
HG02308,HG00148,58.0,7.0,6.0,114.0,52.0,181.0,59.0,389.0,114.0,15.0
HG02308,HG02239,36.0,58.0,6.0,6.0,65.0,12.0,315.0,71.0,172.0,42.0
HG02308,HG00338,40.0,8.0,37.0,115.0,22.0,26.0,8.0,3.0,86.0,41.0
HG02308,HG00255,21.0,6.0,0.0,113.0,8.0,18.0,16.0,2.0,268.0,60.0
HG02308,HG03882,81.0,56.0,27.0,114.0,20.0,124.0,26.0,423.0,0.0,6.0
HG02308,HG04039,58.0,36.0,27.0,6.0,41.0,6.0,24.0,423.0,514.0,41.0
HG02308,HG03904,59.0,58.0,33.0,114.0,9.0,20.0,8.0,3.0,404.0,46.0
HG02308,NA21099,59.0,86.0,2.0,7.0,304.0,4.0,71.0,70.0,234.0,5.0
HG02308,HG03941,58.0,52.0,38.0,7.0,52.0,9.0,54.0,27.0,0.0,21.0
HG02308,HG03977,101.0,52.0,37.0,114.0,13.0,124.0,61.0,23.0,150.0,65.0
HG02308,NA21111,53.0,85.0,59.0,6.0,8.0,20.0,66.0,358.0,0.0,65.0
HG02308,NA21110,14.0,82.0,28.0,113.0,21.0,124.0,71.0,423.0,0.0,7.0
HG02308,HG03009,102.0,65.0,33.0,5.0,37.0,83.0,26.0,22.0,0.0,42.0
HG02308,NA20899,23.0,65.0,34.0,115.0,8.0,19.0,502.0,74.0,292.0,43.0
HG02943,NA20348,0.0,63.0,19.0,0.0,0.0,22.0,2.0,3.0,322.0,40.0
HG02943,HG02283,49.0,15.0,0.0,17.0,6.0,11.0,38.0,398.0,318.0,34.0
HG02943,HG02643,17.0,72.0,8.0,72.0,6.0,12.0,40.0,394.0,156.0,5.0
HG02943,HG02485,0.0,30.0,64.0,17.0,6.0,11.0,54.0,394.0,0.0,29.0
HG02943,HG03476,46.0,73.0,7.0,1.0,0.0,11.0,105.0,6.0,0.0,0.0
HG02943,HG02275,58.0,78.0,14.0,6.0,27.0,391.0,39.0,394.0,176.0,33.0
HG02943,HG01366,8.0,57.0,9.0,3.0,6.0,23.0,0.0,0.0,5.0,2.0
HG02943,HG01073,53.0,82.0,68.0,2.0,35.0,9447.0,496.0,398.0,150.0,39.0
HG02943,HG01187,50.0,64.0,61.0,17.0,31.0,565.0,497.0,466.0,206.0,37.0
HG02943,HG01136,49.0,5.0,0.0,16.0,27.0,18.0,40.0,44.0,327.0,41.0
HG02943,HG01058,78.0,81.0,62.0,16.0,78.0,469.0,529.0,435.0,155.0,2.0
HG02943,HG02274,59.0,72.0,41.0,34.0,26.0,29.0,410.0,433.0,176.0,37.0
HG02943,HG02292,59.0,9.0,1.0,4.0,31.0,525.0,529.0,435.0,155.0,1404.0
HG02943,HG01341,9.0,30.0,7.0,17.0,27.0,29.0,410.0,396.0,155.0,36.0
HG02943,NA19774,50.0,32.0,42.0,15.0,34.0,21.0,61.0,394.0,300.0,2.0
HG02943,HG00583,31.0,62.0,41.0,10.0,15.0,569.0,529.0,436.0,155.0,2.0
HG02943,HG02178,49.0,31.0,13.0,3.0,52.0,104.0,35.0,394.0,22.0,32.0
HG02943,HG02017,32.0,56.0,59.0,68.0,62.0,485.0,17.0,403.0,80.0,36.0
HG02943,NA18971,57.0,92.0,12.0,67.0,63.0,30.0,64.0,432.0,8.0,35.0
HG02943,HG01597,55.0,101.0,13.0,67.0,33.0,571.0,402.0,509.0,0.0,5.0
HG02943,HG00634,49.0,103.0,13.0,17.0,76.0,587.0,50.0,432.0,18.0,36.0
HG02943,HG00844,55.0,62.0,59.0,67.0,37.0,33.0,14.0,403.0,77.0,35.0
HG02943,NA18980,50.0,79.0,62.0,10.0,23.0,33.0,47.0,501.0,327.0,37.0
HG02943,HG00596,49.0,77.0,1.0,10.0,10.0,35.0,535.0,432.0,5.0,35.0
HG02943,HG00607,11.0,4.0,62.0,11.0,14.0,569.0,3.0,0.0,130.0,36.0
HG02943,NA20801,58.0,62.0,7.0,33.0,26.0,29.0,54.0,394.0,238.0,40.0
HG02943,HG01776,49.0,93.0,64.0,3.0,51.0,520.0,16.0,403.0,208.0,36.0
HG02943,HG00325,29.0,5.0,1.0,16.0,28.0,468.0,54.0,394.0,533.0,34.0
HG02943,HG02223,98.0,101.0,13.0,17.0,25.0,466.0,25.0,0.0,322.0,2.0
HG02943,HG00313,31.0,6.0,1.0,16.0,27.0,25.0,54.0,394.0,155.0,3.0
HG02943,HG01506,53.0,31.0,65.0,17.0,27.0,20.0,0.0,1.0,0.0,36.0
HG02943,HG00148,49.0,87.0,61.0,18.0,26.0,469.0,40.0,43.0,155.0,29.0
HG02943,HG02239,49.0,72.0,7.0,5.0,47.0,21.0,529.0,436.0,155.0,0.0
HG02943,HG00338,31.0,5.0,1.0,11.0,16.0,28.0,55.0,7.0,327.0,33.0
HG02943,HG00255,54.0,83.0,12.0,17.0,26.0,29.0,498.0,398.0,176.0,35.0
HG02943,HG03882,57.0,28.0,57.0,10.0,14.0,569.0,39.0,502.0,0.0,5.0
HG02943,HG04039,37.0,28.0,57.0,5.0,31.0,15.0,40.0,501.0,171.0,34.0
HG02943,HG03904,38.0,56.0,61.0,10.0,18.0,31.0,55.0,394.0,176.0,38.0
HG02943,NA21099,50.0,31.0,14.0,6.0,62.0,13.0,38.0,435.0,155.0,3.0
HG02943,HG03941,49.0,5.0,2.0,6.0,13.0,11.0,1.0,402.0,0.0,0.0
HG02943,HG03977,98.0,18.0,1.0,10.0,23.0,569.0,54.0,400.0,155.0,34.0
HG02943,NA21111,11.0,76.0,12.0,5.0,26.0,29.0,19.0,396.0,0.0,38.0
HG02943,NA21110,56.0,9.0,1.0,10.0,15.0,125.0,38.0,501.0,0.0,6.0
HG02943,HG03009,99.0,56.0,13.0,4.0,35.0,469.0,46.0,399.0,0.0,35.0
HG02943,NA20899,50.0,56.0,62.0,11.0,15.0,30.0,497.0,398.0,155.0,1.0
NA20348,HG02283,37.0,74.0,20.0,17.0,325.0,21.0,38.0,15.0,92.0,364.0
NA20348,HG02643,46.0,84.0,15.0,372.0,325.0,25.0,40.0,361.0,39.0,48.0
NA20348,HG02485,0.0,0.0,0.0,17.0,325.0,21.0,54.0,361.0,159.0,381.0
NA20348,HG03476,46.0,93.0,14.0,14.0,0.0,19.0,105.0,9.0,0.0,416.0
NA20348,HG02275,86.0,40.0,17.0,34.0,27.0,394.0,41.0,361.0,104.0,22.0
NA20348,HG01366,8.0,97.0,16.0,34.0,32.0,28.0,0.0,3.0,420.0,40.0
NA20348,HG01073,36.0,95.0,155.0,15.0,35.0,9452.0,0.0,0.0,420.0,401.0
NA20348,HG01187,50.0,91.0,143.0,17.0,31.0,565.0,0.0,322.0,441.0,24.0
NA20348,HG01136,43.0,64.0,148.0,16.0,27.0,24.0,40.0,43.0,95.0,364.0
NA20348,HG01058,95.0,89.0,144.0,16.0,85.0,475.0,158.0,322.0,54.0,53.0
NA20348,HG02274,85.0,72.0,152.0,34.0,26.0,34.0,163.0,323.0,58.0,11082.0
NA20348,HG02292,87.0,58.0,147.0,15.0,31.0,530.0,158.0,434.0,37.0,34.0
NA20348,HG01341,64.0,72.0,14.0,17.0,27.0,34.0,162.0,397.0,44.0,23.0
NA20348,NA19774,50.0,72.0,153.0,15.0,34.0,26.0,65.0,361.0,49.0,278.0
NA20348,HG00583,31.0,87.0,152.0,10.0,15.0,571.0,158.0,322.0,26.0,34.0
NA20348,HG02178,49.0,77.0,16.0,370.0,327.0,106.0,35.0,360.0,401.0,368.0
NA20348,HG02017,32.0,83.0,143.0,376.0,323.0,491.0,19.0,372.0,1543.0,371.0
NA20348,NA18971,88.0,81.0,15.0,375.0,322.0,38.0,76.0,362.0,111.0,364.0
NA20348,HG01597,68.0,84.0,16.0,375.0,33.0,573.0,404.0,323.0,0.0,34.0
NA20348,HG00634,49.0,75.0,16.0,17.0,333.0,587.0,50.0,396.0,274.0,33.0
NA20348,HG00844,89.0,86.0,149.0,375.0,37.0,35.0,16.0,323.0,188.0,22.0
NA20348,NA18980,5.0,85.0,157.0,10.0,23.0,35.0,49.0,323.0,337.0,277.0
NA20348,HG00596,49.0,77.0,150.0,10.0,10.0,40.0,164.0,322.0,22.0,22.0
NA20348,HG00607,0.0,86.0,156.0,11.0,14.0,571.0,5.0,3.0,761.0,373.0
NA20348,NA20801,86.0,1.0,14.0,33.0,26.0,34.0,6.0,10.0,420.0,397.0
NA20348,HG01776,49.0,82.0,151.0,368.0,332.0,525.0,3.0,372.0,518.0,23.0
NA20348,HG00325,29.0,55.0,147.0,16.0,28.0,474.0,54.0,361.0,283.0,279.0
NA20348,HG02223,98.0,58.0,16.0,17.0,25.0,472.0,24.0,3.0,6.0,363.0
NA20348,HG00313,31.0,40.0,17.0,16.0,27.0,29.0,54.0,361.0,56.0,35.0
NA20348,HG01506,36.0,77.0,154.0,17.0,27.0,25.0,2.0,4.0,0.0,371.0
NA20348,HG00148,49.0,88.0,156.0,18.0,26.0,475.0,40.0,42.0,91.0,40.0
NA20348,HG02239,6.0,87.0,14.0,15.0,47.0,26.0,158.0,323.0,45.0,419.0
NA20348,HG00338,31.0,64.0,147.0,11.0,16.0,28.0,55.0,10.0,89.0,24.0
NA20348,HG00255,37.0,75.0,15.0,17.0,26.0,34.0,1.0,399.0,283.0,364.0
NA20348,HG03882,91.0,69.0,150.0,10.0,14.0,571.0,41.0,323.0,0.0,26.0
NA20348,HG04039,49.0,75.0,147.0,15.0,31.0,20.0,42.0,323.0,2408.0,23.0
NA20348,HG03904,50.0,91.0,143.0,10.0,18.0,36.0,0.0,361.0,420.0,12672.0
NA20348,NA21099,50.0,37.0,17.0,371.0,323.0,24.0,40.0,396.0,41.0,6678.0
NA20348,HG03941,49.0,64.0,151.0,17.0,43.0,19.0,1.0,372.0,0.0,51.0
NA20348,HG03977,98.0,77.0,150.0,10.0,23.0,571.0,70.0,361.0,41.0,364.0
